Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CLC	19q13.2	1.13	2.10	1.26	2.16	-0.97	8.62e-7	3.611e-4	(B) White
RPPH1	14q11.2	8.47	7.43	1.44	2.17	1.04	8.64e-7	3.611e-4	(A) Asian
CWC15	11q21	10.04	9.70	0.53	0.48	0.33	1.028e-6	4.193e-4	(A) Asian
IFI27L1	14q32.12	7.17	6.69	0.74	0.80	0.48	1.289e-6	5.130e-4	(A) Asian
GNL3L	Xp11.22	10.66	10.34	0.50	0.55	0.32	1.421e-6	5.416e-4	(A) Asian
METAP2	12q22	11.46	11.16	0.47	0.46	0.29	1.428e-6	5.416e-4	(A) Asian
BEX5	Xq22.1	5.64	4.54	1.67	2.07	1.10	1.477e-6	5.416e-4	(A) Asian
TRA2A	7p15.3	10.48	10.22	0.41	0.46	0.26	1.490e-6	5.416e-4	(A) Asian
LARP7	4q25	10.28	9.94	0.55	0.54	0.34	1.747e-6	6.215e-4	(A) Asian
SRP14	15q15.1	12.10	11.80	0.49	0.44	0.30	1.858e-6	6.470e-4	(A) Asian
PFDN6	6p21.32	9.58	9.10	0.78	0.74	0.48	1.907e-6	6.507e-4	(A) Asian
OR2A4	6q23.2	5.19	4.40	1.22	1.46	0.79	1.999e-6	6.594e-4	(A) Asian
CCDC34	11p14.1	9.43	8.88	0.88	0.90	0.55	2.012e-6	6.594e-4	(A) Asian
RBIS	8q21.2	9.77	9.40	0.60	0.65	0.37	2.158e-6	6.883e-4	(A) Asian
TAF3	10p14	8.56	8.18	0.62	0.62	0.38	2.182e-6	6.883e-4	(A) Asian
VHL	3p25.3	10.40	10.11	0.43	0.55	0.28	2.236e-6	6.922e-4	(A) Asian
MZT2A	2q21.1	9.33	8.91	0.69	0.66	0.42	2.354e-6	7.129e-4	(A) Asian
ALOX15B	17p13.1	3.90	4.95	1.63	1.94	-1.04	2.388e-6	7.129e-4	(B) White
IP6K2	3p21.31	10.35	10.05	0.47	0.53	0.30	2.516e-6	7.378e-4	(A) Asian
TRNT1	3p26.2	8.60	8.33	0.45	0.47	0.28	2.740e-6	7.898e-4	(A) Asian
SPATA24	5q31.2	5.16	4.77	0.64	0.68	0.39	2.883e-6	8.140e-4	(A) Asian
CHIT1	1q32.1	3.73	5.28	2.47	2.87	-1.55	2.922e-6	8.140e-4	(B) White
UBE2E1	3p24.2	10.55	10.26	0.49	0.52	0.30	3.019e-6	8.272e-4	(A) Asian
TTC12	11q23.2	7.73	7.37	0.56	0.74	0.37	3.157e-6	8.513e-4	(A) Asian
STAG3L1	7q11.23	6.98	6.45	0.84	1.03	0.53	3.462e-6	9.187e-4	(A) Asian
POMZP3	7q11.23	6.28	6.75	0.75	0.92	-0.48	3.564e-6	9.309e-4	(B) White
GLB1	3p22.3	10.33	10.62	0.43	0.61	-0.28	3.735e-6	9.605e-4	(B) White
LOC391322	22q11.23	1.52	2.40	1.52	1.39	-0.89	4.176e-6	1.058e-3	(B) White
DHFR	5q14.1	9.03	8.64	0.63	0.73	0.39	4.285e-6	1.069e-3	(A) Asian
PAXIP1-AS1	7q36.2	7.68	7.25	0.72	0.72	0.43	4.514e-6	1.110e-3	(A) Asian
MAGOH	1p32.3	9.62	9.28	0.58	0.57	0.34	4.613e-6	1.118e-3	(A) Asian
ERH	14q24.1	11.23	10.92	0.53	0.56	0.31	4.936e-6	1.179e-3	(A) Asian
CDKN2AIPNL	5q31.1	8.43	8.15	0.47	0.55	0.29	5.136e-6	1.209e-3	(A) Asian
LINC00638	14q32.33	3.20	3.92	1.28	1.05	-0.73	5.436e-6	1.262e-3	(B) White
HIST1H4C	6p22.2	1.07	0.57	0.88	0.74	0.50	5.584e-6	1.265e-3	(A) Asian
ZCRB1	12q12	10.16	9.78	0.65	0.58	0.37	5.602e-6	1.265e-3	(A) Asian
RSBN1L	7q11.23	9.61	9.28	0.57	0.55	0.33	5.675e-6	1.265e-3	(A) Asian
FAM86HP	3q22.1	5.20	4.69	0.84	0.94	0.50	6.111e-6	1.344e-3	(A) Asian
BAZ1A	14q13.1-q13.2	11.04	10.70	0.58	0.65	0.35	6.790e-6	1.474e-3	(A) Asian
HNRNPK	9q21.32	13.68	13.51	0.28	0.34	0.17	6.880e-6	1.475e-3	(A) Asian
ARL16	17q25.3	8.71	8.43	0.44	0.55	0.27	7.018e-6	1.485e-3	(A) Asian
CBWD1	9p24.3	9.45	8.96	0.86	0.79	0.49	7.551e-6	1.578e-3	(A) Asian
SLC44A5	1p31.1	4.02	5.61	2.82	2.52	-1.59	7.711e-6	1.583e-3	(B) White
ZNF326	1p22.2	9.50	9.22	0.48	0.48	0.28	7.818e-6	1.583e-3	(A) Asian
FAM106A	17p11.2	2.43	1.59	1.46	1.42	0.84	7.858e-6	1.583e-3	(A) Asian
SZT2	1p34.2	5.09	4.73	0.62	0.70	0.37	8.370e-6	1.666e-3	(A) Asian
TRA2B	3q27.2	11.63	11.44	0.32	0.35	0.19	8.859e-6	1.739e-3	(A) Asian
PRPF8	17p13.3	12.46	12.73	0.45	0.52	-0.27	8.949e-6	1.739e-3	(B) White
NOM1	7q36.3	9.49	9.23	0.45	0.53	0.27	9.819e-6	1.887e-3	(A) Asian
CCDC59	12q21.31	9.26	8.95	0.54	0.56	0.31	1.014e-5	1.926e-3	(A) Asian
TAS2R43	12p13.2	0.85	0.44	0.75	0.61	0.41	1.134e-5	2.129e-3	(A) Asian
WBP4	13q14.11	9.17	8.80	0.67	0.65	0.37	1.202e-5	2.232e-3	(A) Asian
NKAPD1	11q23.1	9.78	9.54	0.43	0.39	0.24	1.237e-5	2.272e-3	(A) Asian
LIN52	14q24.3	6.97	6.72	0.40	0.55	0.25	1.260e-5	2.284e-3	(A) Asian
DDX46	5q31.1	11.05	10.83	0.40	0.38	0.22	1.271e-5	2.284e-3	(A) Asian
SHLD2P1	10q11.22	7.41	7.74	0.60	0.52	-0.32	1.406e-5	2.501e-3	(B) White
CWF19L2	11q22.3	8.98	8.59	0.71	0.70	0.39	1.517e-5	2.659e-3	(A) Asian
SLU7	5q33.3	10.26	10.00	0.47	0.45	0.26	1.527e-5	2.659e-3	(A) Asian
SELENOK	3p21.1	9.55	9.25	0.55	0.49	0.30	1.554e-5	2.678e-3	(A) Asian
FAM133CP	10q21.1	6.47	6.02	0.81	0.86	0.46	1.572e-5	2.680e-3	(A) Asian
FMO2	1q24.3	6.40	7.58	2.14	2.09	-1.18	1.587e-5	2.680e-3	(B) White
HNRNPA2B1	7p15.2	14.39	14.15	0.43	0.43	0.24	1.651e-5	2.760e-3	(A) Asian
SERHL	22q13.2	6.69	6.30	0.70	0.77	0.40	1.710e-5	2.831e-3	(A) Asian
ZNF322P1	9q22.33	4.50	3.88	1.07	1.26	0.62	1.811e-5	2.968e-3	(A) Asian
LOC642846	12p13.31	7.54	7.07	0.83	0.92	0.47	1.920e-5	3.116e-3	(A) Asian
MFSD14C	9q22.33	5.34	5.04	0.52	0.66	0.30	2.034e-5	3.256e-3	(A) Asian
RPP14	3p14.3	9.15	8.95	0.34	0.40	0.20	2.045e-5	3.256e-3	(A) Asian
NOP58	2q33.1	11.36	10.98	0.69	0.66	0.37	2.142e-5	3.291e-3	(A) Asian
FRG1	4q35.2	9.51	9.23	0.51	0.54	0.28	2.155e-5	3.291e-3	(A) Asian
YBX1	1p34.2	13.36	13.11	0.45	0.48	0.25	2.165e-5	3.291e-3	(A) Asian
SSB	2q31.1	11.47	11.17	0.55	0.56	0.30	2.173e-5	3.291e-3	(A) Asian
RTF1	15q15.1	10.87	10.62	0.46	0.50	0.26	2.182e-5	3.291e-3	(A) Asian
PER1	17p13.1	9.10	9.65	0.96	1.15	-0.55	2.185e-5	3.291e-3	(B) White
MED19	11q12.1	8.41	8.05	0.67	0.60	0.36	2.253e-5	3.362e-3	(A) Asian
PDPR	16q22.1	9.16	9.62	0.83	0.82	-0.45	2.287e-5	3.383e-3	(B) White
MNAT1	14q23.1	7.78	7.49	0.52	0.54	0.29	2.316e-5	3.396e-3	(A) Asian
C15ORF40	15q25.2	8.02	7.77	0.46	0.46	0.25	2.503e-5	3.638e-3	(A) Asian
HLA-DPA1	6p21.32	11.47	12.28	1.53	1.41	-0.81	2.841e-5	4.094e-3	(B) White
LUC7L3	17q21.33	11.76	11.33	0.79	0.81	0.43	2.958e-5	4.226e-3	(A) Asian
TTC32	2p24.1	6.55	6.07	0.91	0.87	0.48	3.109e-5	4.404e-3	(A) Asian
SLF1	5q15	7.44	7.16	0.48	0.60	0.27	3.172e-5	4.447e-3	(A) Asian
CCDC73	11p13	5.82	5.34	0.89	0.98	0.49	3.218e-5	4.447e-3	(A) Asian
HIST1H1E	6p22.2	3.19	2.56	1.13	1.38	0.64	3.219e-5	4.447e-3	(A) Asian
BMP2K	4q21.21	8.00	8.34	0.64	0.68	-0.35	3.287e-5	4.503e-3	(B) White
TAF13	1p13.3	8.22	7.88	0.64	0.65	0.34	3.327e-5	4.522e-3	(A) Asian
NUDCD2	5q34	8.97	8.71	0.48	0.55	0.26	3.442e-5	4.640e-3	(A) Asian
LYRM7	5q23.3-q31.1	8.93	8.62	0.56	0.61	0.30	3.516e-5	4.686e-3	(A) Asian
SUGT1	13q14.3	10.27	9.95	0.61	0.53	0.32	3.532e-5	4.686e-3	(A) Asian
SYF2	1p36.11	10.63	10.35	0.53	0.48	0.28	3.586e-5	4.688e-3	(A) Asian
ZNHIT6	1p22.3	8.93	8.71	0.43	0.40	0.23	3.589e-5	4.688e-3	(A) Asian
ZRANB2	1p31.1	10.81	10.55	0.48	0.53	0.26	3.691e-5	4.764e-3	(A) Asian
EED	11q14.2	9.21	8.98	0.42	0.48	0.23	3.705e-5	4.764e-3	(A) Asian
HMGB2	4q34.1	11.92	11.53	0.72	0.77	0.39	3.802e-5	4.804e-3	(A) Asian
SRSF9	12q24.31	11.35	11.12	0.43	0.45	0.23	3.821e-5	4.804e-3	(A) Asian
HDAC8	Xq13.1	8.19	7.96	0.45	0.44	0.24	3.822e-5	4.804e-3	(A) Asian
CETN3	5q14.3	8.10	7.80	0.57	0.58	0.30	3.927e-5	4.900e-3	(A) Asian
SCARNA16	17q25.2	1.67	1.24	0.79	0.87	0.43	4.057e-5	5.015e-3	(A) Asian
LTBP2	14q24.3	10.33	11.01	1.30	1.23	-0.68	4.080e-5	5.015e-3	(B) White
WDR92	2p14	7.79	7.58	0.38	0.43	0.21	4.147e-5	5.060e-3	(A) Asian
EIF3J	15q21.1	11.07	10.82	0.49	0.47	0.25	4.239e-5	5.116e-3	(A) Asian
ZNF22	10q11.21	9.41	9.15	0.44	0.62	0.26	4.254e-5	5.116e-3	(A) Asian
HMGN1	21q22.2	11.87	11.54	0.64	0.62	0.33	4.477e-5	5.345e-3	(A) Asian
FECH	18q21.31	8.28	8.64	0.71	0.65	-0.37	4.631e-5	5.491e-3	(B) White
ARL17B	17q21.31	1.10	1.65	0.95	1.31	-0.55	4.767e-5	5.612e-3	(B) White
XKR9	8q13.3	5.29	6.28	1.95	1.75	-0.99	5.385e-5	6.295e-3	(B) White
PPIG	2q31.1	11.14	10.83	0.60	0.61	0.31	5.457e-5	6.335e-3	(A) Asian
ACTL10	20q11.22	5.42	4.95	0.90	0.99	0.47	5.690e-5	6.560e-3	(A) Asian
CWC22	2q31.3	9.65	9.48	0.32	0.36	0.17	5.832e-5	6.677e-3	(A) Asian
CREB3L2	7q33	10.45	10.82	0.71	0.74	-0.37	5.907e-5	6.717e-3	(B) White
ARPC3	12q24.11	12.39	12.11	0.54	0.60	0.28	6.237e-5	7.045e-3	(A) Asian
PIGP	21q22.13	8.34	8.04	0.58	0.66	0.31	6.290e-5	7.057e-3	(A) Asian
SLC35E2A	1p36.33	5.00	5.52	1.05	0.95	-0.53	6.341e-5	7.057e-3	(B) White
IRF5	7q32.1	7.22	7.70	0.97	0.82	-0.48	6.374e-5	7.057e-3	(B) White
RPH3AL	17p13.3	7.32	7.71	0.78	0.66	-0.39	6.572e-5	7.228e-3	(B) White
SETD9	5q11.2	6.34	6.84	1.00	0.86	-0.50	6.875e-5	7.512e-3	(B) White
MED18	1p35.3	8.70	8.46	0.47	0.53	0.25	7.082e-5	7.688e-3	(A) Asian
RBMX2	Xq26.1	9.42	9.10	0.65	0.62	0.33	7.221e-5	7.788e-3	(A) Asian
CCNI	4q21.1	11.49	11.76	0.53	0.51	-0.26	7.361e-5	7.888e-3	(B) White
MOXD1	6q23.2	7.27	8.21	1.95	1.48	-0.94	7.586e-5	8.078e-3	(B) White
ZC3HAV1	7q34	10.82	10.63	0.38	0.41	0.20	7.845e-5	8.251e-3	(A) Asian
TPRKB	2p13.1	8.91	8.60	0.61	0.61	0.31	7.861e-5	8.251e-3	(A) Asian
NUP42	7p15.3	9.12	8.86	0.51	0.52	0.26	7.897e-5	8.251e-3	(A) Asian
GSTM1	1p13.3	2.96	4.78	3.48	3.97	-1.82	7.967e-5	8.272e-3	(B) White
SMC6	2p24.2	9.95	9.73	0.41	0.50	0.22	8.296e-5	8.561e-3	(A) Asian
HNRNPD	4q21.22	12.39	12.16	0.45	0.44	0.23	8.545e-5	8.763e-3	(A) Asian
PCP2	19p13.2	2.10	1.45	1.31	1.26	0.65	9.154e-5	9.285e-3	(A) Asian
WASH3P	15q26.3	8.91	8.61	0.59	0.63	0.30	9.165e-5	9.285e-3	(A) Asian
OR2A9P	7q35	6.69	6.25	0.89	0.86	0.44	9.946e-5	0.0100	(A) Asian
PRPF38B	1p13.3	10.93	10.67	0.53	0.52	0.26	1.006e-4	0.0101	(A) Asian
UBE3A	15q11.2	11.14	10.89	0.51	0.49	0.25	1.044e-4	0.0104	(A) Asian
CCL3L1	17q21.1	4.17	3.31	1.73	1.76	0.86	1.069e-4	0.0105	(A) Asian
SRSF3	6p21.31-p21.2	12.55	12.37	0.35	0.35	0.17	1.071e-4	0.0105	(A) Asian
DDX55	12q24.31	9.21	8.93	0.57	0.55	0.28	1.088e-4	0.0106	(A) Asian
NDEL1	17p13.1	9.37	9.55	0.35	0.43	-0.18	1.119e-4	0.0109	(B) White
TAF15	17q12	12.13	11.91	0.46	0.49	0.23	1.130e-4	0.0109	(A) Asian
HDLBP	2q37.3	13.37	13.60	0.48	0.47	-0.24	1.146e-4	0.0109	(B) White
NDUFC2	11q14.1	11.17	10.79	0.78	0.71	0.38	1.148e-4	0.0109	(A) Asian
BEND3P3	10q22.3	5.15	5.75	1.25	1.12	-0.60	1.150e-4	0.0109	(B) White
PCNP	3q12.3	11.31	11.14	0.33	0.36	0.16	1.177e-4	0.0110	(A) Asian
ECT2L	6q24.1	3.29	2.84	0.91	0.93	0.45	1.181e-4	0.0110	(A) Asian
UTP3	4q13.3	9.67	9.47	0.41	0.40	0.20	1.186e-4	0.0110	(A) Asian
GSTM5	1p13.3	4.74	5.67	1.93	1.68	-0.92	1.189e-4	0.0110	(B) White
ATP5MG	11q23.3	11.92	11.61	0.65	0.58	0.31	1.212e-4	0.0112	(A) Asian
STAG3L4	7q11.21	7.55	7.27	0.58	0.58	0.29	1.232e-4	0.0113	(A) Asian
LSMEM2	3p21.31	2.37	1.92	0.90	0.97	0.45	1.246e-4	0.0114	(A) Asian
NCOR1	17p12-p11.2	11.91	11.63	0.53	0.65	0.28	1.252e-4	0.0114	(A) Asian
SNRNP35	12q24.31	8.91	8.67	0.49	0.46	0.24	1.297e-4	0.0117	(A) Asian
BCDIN3D	12q13.12	7.56	7.31	0.51	0.52	0.25	1.302e-4	0.0117	(A) Asian
LOC100131496	20q13.12	1.62	1.13	1.03	0.98	0.50	1.321e-4	0.0118	(A) Asian
GPATCH11	2p22.2	6.53	6.28	0.50	0.50	0.25	1.343e-4	0.0119	(A) Asian
MED10	5p15.31	9.09	8.82	0.55	0.55	0.27	1.347e-4	0.0119	(A) Asian
EXOSC3	9p13.2	8.78	8.53	0.51	0.52	0.25	1.348e-4	0.0119	(A) Asian
ABCC11	16q12.1	0.93	1.41	0.87	1.30	-0.48	1.391e-4	0.0122	(B) White
THOC3	5q35.2	10.34	10.00	0.72	0.61	0.34	1.403e-4	0.0122	(A) Asian
PITPNA	17p13.3	10.61	10.78	0.32	0.39	-0.17	1.422e-4	0.0123	(B) White
HAUS2	15q15.2	9.56	9.33	0.46	0.49	0.23	1.437e-4	0.0124	(A) Asian
SCARNA7	3q25.33	2.71	1.99	1.51	1.44	0.73	1.449e-4	0.0124	(A) Asian
SS18L2	3p22.1	8.63	8.34	0.60	0.58	0.29	1.450e-4	0.0124	(A) Asian
UPF2	10p14	10.59	10.33	0.55	0.53	0.26	1.458e-4	0.0124	(A) Asian
ZBTB8OS	1p35.1	8.31	8.00	0.65	0.60	0.31	1.492e-4	0.0126	(A) Asian
SPNS2	17p13.2	9.09	9.84	1.55	1.50	-0.74	1.498e-4	0.0126	(B) White
ALG1L2	3q22.1	1.18	0.71	1.03	0.81	0.48	1.575e-4	0.0132	(A) Asian
DEK	6p22.3	12.23	11.99	0.48	0.53	0.24	1.636e-4	0.0136	(A) Asian
SNX33	15q24.2	9.35	9.64	0.63	0.55	-0.30	1.643e-4	0.0136	(B) White
RDH14	2p24.2	8.67	8.48	0.42	0.37	0.20	1.646e-4	0.0136	(A) Asian
PTGER2	14q22.1	6.57	7.31	1.57	1.45	-0.74	1.660e-4	0.0136	(B) White
RPAIN	17p13.2	9.24	8.98	0.54	0.57	0.26	1.675e-4	0.0137	(A) Asian
GYPE	4q31.21	1.58	2.13	1.16	1.15	-0.56	1.699e-4	0.0138	(B) White
CCDC84	11q23.3	7.26	6.92	0.70	0.72	0.34	1.750e-4	0.0141	(A) Asian
RBM25	14q24.2	11.67	11.40	0.57	0.62	0.28	1.775e-4	0.0142	(A) Asian
CMC1	3p24.1	7.72	7.46	0.54	0.57	0.26	1.780e-4	0.0142	(A) Asian
GEMIN6	2p22.1	7.91	7.63	0.58	0.57	0.28	1.790e-4	0.0142	(A) Asian
SRP19	5q22.2	9.54	9.29	0.53	0.46	0.24	1.819e-4	0.0144	(A) Asian
COMMD8	4p12	8.99	8.76	0.46	0.59	0.24	1.836e-4	0.0145	(A) Asian
TRAF3IP1	2q37.3	9.31	9.08	0.48	0.48	0.23	1.843e-4	0.0145	(A) Asian
PPP3R1	2p14	10.86	10.72	0.30	0.32	0.15	1.864e-4	0.0146	(A) Asian
SPTBN5	15q15.1	6.61	5.85	1.56	1.69	0.76	1.874e-4	0.0146	(A) Asian
CWC27	5q12.3	8.98	8.78	0.41	0.46	0.20	1.940e-4	0.0150	(A) Asian
SPCS1	3p21.1	11.30	11.04	0.56	0.52	0.26	1.949e-4	0.0150	(A) Asian
LOC728554	5q35.3	8.44	7.90	1.16	1.00	0.54	1.998e-4	0.0153	(A) Asian
AHRR	5p15.33	5.93	5.30	1.30	1.41	0.63	2.000e-4	0.0153	(A) Asian
ARRDC3	5q14.3	10.30	10.64	0.71	0.73	-0.34	2.044e-4	0.0155	(B) White
SPSB2	12p13.31	7.52	7.12	0.84	0.82	0.40	2.049e-4	0.0155	(A) Asian
AGPAT1	6p21.32	10.36	10.57	0.42	0.53	-0.21	2.143e-4	0.0161	(B) White
MED7	5q33.3	7.75	7.55	0.43	0.44	0.21	2.171e-4	0.0163	(A) Asian
CEP290	12q21.32	9.06	8.74	0.65	0.83	0.33	2.192e-4	0.0164	(A) Asian
HIST1H2AH	6p22.1	1.04	0.67	0.80	0.74	0.37	2.240e-4	0.0166	(A) Asian
MPHOSPH10	2p13.3	10.00	9.81	0.41	0.42	0.19	2.257e-4	0.0167	(A) Asian
SSBP3	1p32.3	10.08	9.81	0.56	0.65	0.28	2.277e-4	0.0167	(A) Asian
ZC3H8	2q14.1	7.70	7.42	0.61	0.58	0.28	2.280e-4	0.0167	(A) Asian
SMC4	3q25.33	11.58	11.25	0.68	0.74	0.33	2.332e-4	0.0170	(A) Asian
FAM173A	16p13.3	7.35	7.04	0.64	0.67	0.30	2.353e-4	0.0171	(A) Asian
BET1L	11p15.5	10.39	10.57	0.34	0.45	-0.17	2.374e-4	0.0172	(B) White
LENG1	19q13.42	7.48	7.22	0.56	0.55	0.26	2.440e-4	0.0176	(A) Asian
SPCS2	11q13.4	10.45	10.12	0.74	0.67	0.34	2.487e-4	0.0178	(A) Asian
CYP20A1	2q33.2	9.68	9.41	0.55	0.61	0.26	2.498e-4	0.0178	(A) Asian
APOL4	22q12.3	7.29	7.94	1.43	1.22	-0.65	2.627e-4	0.0187	(B) White
USP16	21q21.3	10.31	10.12	0.39	0.48	0.19	2.635e-4	0.0187	(A) Asian
HNRNPL	19q13.2	12.56	12.41	0.34	0.33	0.16	2.705e-4	0.0191	(A) Asian
DUSP12	1q23.3	8.48	8.26	0.46	0.46	0.21	2.752e-4	0.0193	(A) Asian
TAF1B	2p25.1	8.31	8.08	0.50	0.50	0.23	2.756e-4	0.0193	(A) Asian
HYAL3	3p21.31	6.20	5.82	0.82	0.83	0.38	2.808e-4	0.0196	(A) Asian
C6ORF203	6q21	8.18	7.91	0.56	0.67	0.27	2.820e-4	0.0196	(A) Asian
NSRP1	17q11.2	10.10	9.81	0.63	0.58	0.29	2.834e-4	0.0196	(A) Asian
CYP4F22	19p13.12	1.30	1.84	1.00	1.56	-0.53	2.846e-4	0.0196	(B) White
RWDD1	6q22.1	9.93	9.68	0.54	0.56	0.25	2.904e-4	0.0199	(A) Asian
TXNDC5	6p24.3	12.53	12.78	0.53	0.56	-0.25	2.959e-4	0.0202	(B) White
TMEM254-AS1	10q22.3	4.45	3.86	1.33	1.10	0.59	2.968e-4	0.0202	(A) Asian
TXNIP	1q21.1	12.57	13.11	1.20	1.11	-0.54	3.020e-4	0.0204	(B) White
LLPH	12q14.3	9.72	9.50	0.46	0.53	0.22	3.080e-4	0.0207	(A) Asian
ZNF883	9q32	5.41	4.49	2.05	1.86	0.92	3.099e-4	0.0207	(A) Asian
PNN	14q21.1	11.57	11.33	0.50	0.54	0.24	3.101e-4	0.0207	(A) Asian
FAM86DP	3p12.3	7.15	6.86	0.55	0.87	0.29	3.134e-4	0.0208	(A) Asian
RSKR	17q11.2	6.06	5.66	0.88	0.90	0.41	3.150e-4	0.0208	(A) Asian
CORIN	4p12	4.64	5.38	1.59	1.63	-0.73	3.153e-4	0.0208	(B) White
COA1	7p13	9.61	9.43	0.42	0.37	0.19	3.175e-4	0.0209	(A) Asian
MRPS21	1q21.2	10.45	10.06	0.86	0.77	0.39	3.184e-4	0.0209	(A) Asian
LOC388955	2p15	8.47	8.81	0.77	0.66	-0.34	3.199e-4	0.0209	(B) White
PDCL3	2q11.2	9.06	8.84	0.50	0.43	0.22	3.207e-4	0.0209	(A) Asian
CDK11A	1p36.33	9.76	9.47	0.61	0.70	0.29	3.254e-4	0.0211	(A) Asian
SUMO2	17q25.1	11.78	11.57	0.43	0.51	0.21	3.274e-4	0.0211	(A) Asian
TRMT13	1p21.2	8.27	8.05	0.46	0.53	0.22	3.302e-4	0.0211	(A) Asian
SRSF11	1p31.1	11.77	11.54	0.48	0.53	0.23	3.311e-4	0.0211	(A) Asian
PFDN4	20q13.2	9.25	8.88	0.79	0.84	0.37	3.319e-4	0.0211	(A) Asian
DCHS2	4q31.3	3.60	4.57	2.07	2.29	-0.97	3.330e-4	0.0211	(B) White
TMPO-AS1	12q23.1	6.95	6.62	0.70	0.69	0.32	3.339e-4	0.0211	(A) Asian
CEP19	3q29	5.67	5.31	0.81	0.75	0.37	3.387e-4	0.0214	(A) Asian
ARL6IP6	2q23.3	9.05	8.79	0.55	0.55	0.25	3.415e-4	0.0215	(A) Asian
ESF1	20p12.1	9.93	9.58	0.77	0.77	0.35	3.434e-4	0.0215	(A) Asian
