Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
ATP10B	5q34	3.53	4.82	1.79	2.27	-1.28	2.200e-5	7.744e-3	(B) White
GRK4	4p16.3	7.17	6.89	0.39	0.52	0.28	2.496e-5	8.489e-3	(A) Asian
USP32P1	17p11.2	4.94	6.10	1.68	1.77	-1.16	2.658e-5	8.832e-3	(B) White
SLC49A3	4p16.3	8.26	7.81	0.63	0.87	0.45	2.685e-5	8.832e-3	(A) Asian
TRIM7	5q35.3	7.84	7.23	0.86	1.08	0.60	3.110e-5	9.905e-3	(A) Asian
ING5	2q37.3	9.45	9.29	0.22	0.40	0.17	3.209e-5	0.0101	(A) Asian
CDC7	1p22.1	6.27	5.95	0.45	0.61	0.32	3.293e-5	0.0102	(A) Asian
PTPN5	11p15.1	3.96	3.19	1.10	1.40	0.77	3.532e-5	0.0107	(A) Asian
NTSR1	20q13.33	1.42	0.64	1.20	0.70	0.78	3.611e-5	0.0108	(A) Asian
LINC00574	6q27	1.63	2.35	1.06	1.19	-0.72	4.607e-5	0.0132	(B) White
LHFPL2	5q14.1	9.24	9.58	0.50	0.58	-0.34	4.965e-5	0.0140	(B) White
NLRP1	17p13.2	8.75	9.40	1.02	0.67	-0.65	5.445e-5	0.0148	(B) White
HYAL3	3p21.31	5.98	5.64	0.52	0.63	0.35	5.519e-5	0.0148	(A) Asian
PCSK2	20p12.1	12.77	11.37	2.03	2.94	1.41	5.588e-5	0.0148	(A) Asian
CTAG1B	Xq28	0.02	0.19	0.12	0.68	-0.17	5.612e-5	0.0148	(B) White
FAM193A	4p16.3	9.70	9.58	0.18	0.26	0.12	5.922e-5	0.0154	(A) Asian
EXOG	3p22.2	7.39	7.19	0.30	0.33	0.20	6.008e-5	0.0155	(A) Asian
PDCL3P4	3q12.3	6.48	6.19	0.42	0.61	0.29	6.130e-5	0.0156	(A) Asian
NUTM2G	9q22.33	1.90	1.36	0.86	0.63	0.55	6.868e-5	0.0168	(A) Asian
HHIPL2	1q41	1.89	2.86	1.38	2.29	-0.97	7.490e-5	0.0179	(B) White
SRD5A3	4q12	7.68	7.99	0.47	0.59	-0.31	8.067e-5	0.0190	(B) White
LOC650293	4p16.1	0.01	0.07	0.07	0.21	-0.06	8.589e-5	0.0196	(B) White
C12ORF60	12p13.1-p12.3	4.08	3.70	0.59	0.69	0.38	9.865e-5	0.0220	(A) Asian
FADS1	11q12.2	7.67	8.02	0.56	0.60	-0.36	1.008e-4	0.0220	(B) White
POU6F1	12q13.13	8.21	8.03	0.26	0.43	0.18	1.035e-4	0.0223	(A) Asian
CWF19L1	10q24.31	8.61	8.74	0.20	0.27	-0.13	1.057e-4	0.0226	(B) White
REP15	12p11.22	4.45	4.16	0.45	0.53	0.29	1.095e-4	0.0231	(A) Asian
LINC01341	1q44	2.59	2.01	0.93	1.02	0.58	1.233e-4	0.0255	(A) Asian
GAS8	16q24.3	9.98	9.83	0.23	0.36	0.15	1.240e-4	0.0255	(A) Asian
TRIM63	1p36.11	2.98	4.15	1.88	1.91	-1.17	1.247e-4	0.0255	(B) White
MFSD11	17q25.1-q25.2	8.88	9.06	0.28	0.28	-0.17	1.284e-4	0.0260	(B) White
TIGAR	12p13.32	7.69	8.00	0.48	0.67	-0.31	1.337e-4	0.0268	(B) White
FAM86EP	4p16.3	6.32	6.50	0.28	0.38	-0.18	1.461e-4	0.0287	(B) White
ZNF707	8q24.3	7.95	7.76	0.30	0.34	0.19	1.471e-4	0.0287	(A) Asian
PDCD4	10q25.2	13.06	12.87	0.29	0.44	0.19	1.521e-4	0.0293	(A) Asian
ST6GAL2	2q12.3	11.29	10.81	0.75	1.09	0.48	1.541e-4	0.0295	(A) Asian
CCDC144A	17p11.2	2.03	2.90	1.40	1.59	-0.87	1.567e-4	0.0297	(B) White
VPS11	11q23.3	10.78	10.64	0.24	0.26	0.15	1.623e-4	0.0304	(A) Asian
ZDHHC11	5p15.33	4.10	3.51	0.96	1.06	0.59	1.646e-4	0.0306	(A) Asian
GPATCH1	19q13.11	8.14	7.98	0.26	0.32	0.16	1.663e-4	0.0306	(A) Asian
LOC728613	5p15.33	7.80	7.55	0.40	0.55	0.25	1.709e-4	0.0312	(A) Asian
IL10RB	21q22.11	9.40	9.23	0.28	0.33	0.17	1.754e-4	0.0314	(A) Asian
RPL36AL	14q21.3	11.64	11.93	0.48	0.49	-0.29	1.763e-4	0.0314	(B) White
B3GLCT	13q12.3	8.60	8.35	0.42	0.40	0.25	1.768e-4	0.0314	(A) Asian
KIAA0408	6q22.33	5.71	3.93	2.92	3.20	1.78	1.795e-4	0.0316	(A) Asian
EMILIN2	18p11.32-p11.31	10.30	9.71	0.97	1.09	0.59	1.868e-4	0.0324	(A) Asian
FAM47E	4q21.1	8.34	8.07	0.43	0.53	0.27	1.872e-4	0.0324	(A) Asian
DGCR6	22q11.21|22q11	9.66	10.34	1.09	1.36	-0.67	1.981e-4	0.0337	(B) White
SCARNA6	2q37.1	0.48	0.77	0.40	0.92	-0.29	2.028e-4	0.0339	(B) White
CLEC18C	16q22.1	0.35	0.67	0.50	0.74	-0.32	2.029e-4	0.0339	(B) White
DNAJC18	5q31.2	7.89	7.69	0.32	0.47	0.20	2.092e-4	0.0345	(A) Asian
LRRC31	3q26.2	0.18	0.43	0.39	0.66	-0.26	2.127e-4	0.0345	(B) White
OR1F1	16p13.3	0.04	0.16	0.13	0.45	-0.12	2.130e-4	0.0345	(B) White
PRAG1	8p23.1	9.60	10.15	0.92	0.89	-0.55	2.223e-4	0.0357	(B) White
TCL6	14q32.13	1.69	0.74	1.66	1.21	0.95	2.392e-4	0.0377	(A) Asian
PLAG1	8q12.1	9.14	8.60	0.84	1.34	0.54	2.403e-4	0.0377	(A) Asian
POM121L10P	22q11.23	4.24	3.62	1.05	1.08	0.62	2.497e-4	0.0381	(A) Asian
KCTD16	5q31.3	3.57	2.62	1.64	1.41	0.96	2.514e-4	0.0381	(A) Asian
STIM1	11p15.4	11.65	11.42	0.38	0.43	0.23	2.528e-4	0.0381	(A) Asian
CTAGE6	7q35	3.20	2.76	0.73	0.85	0.44	2.533e-4	0.0381	(A) Asian
NEMP2	2q32.2	6.88	6.72	0.27	0.32	0.16	2.547e-4	0.0381	(A) Asian
SPATA9	5q15	4.19	3.89	0.48	0.76	0.30	2.588e-4	0.0384	(A) Asian
MTUS1	8p22	11.57	11.27	0.50	0.67	0.30	2.603e-4	0.0384	(A) Asian
SETD9	5q11.2	6.72	7.08	0.61	0.62	-0.36	2.657e-4	0.0389	(B) White
INHBB	2q14.2	11.71	11.14	0.93	1.32	0.58	2.724e-4	0.0396	(A) Asian
LINC01106	2q13	7.13	6.80	0.53	0.78	0.33	2.775e-4	0.0399	(A) Asian
OC90	8q24.22	0.01	0.07	0.08	0.23	-0.06	2.791e-4	0.0399	(B) White
PLPP2	19p13.3	9.50	8.83	1.11	1.41	0.67	2.807e-4	0.0399	(A) Asian
RXFP3	5p13.2	0.03	0.12	0.11	0.38	-0.09	2.877e-4	0.0404	(B) White
SLC16A13	17p13.1	6.39	6.64	0.36	0.72	-0.24	2.923e-4	0.0406	(B) White
NAT8L	4p16.3	7.83	7.24	0.96	1.42	0.59	2.946e-4	0.0406	(A) Asian
GRK1	13q34	2.53	3.09	0.93	1.19	-0.56	2.952e-4	0.0406	(B) White
SIRPB2	20p13	4.44	5.00	0.94	1.11	-0.56	2.992e-4	0.0408	(B) White
S100A12	1q21.3	0.57	0.91	0.55	0.83	-0.34	3.273e-4	0.0444	(B) White
DDO	6q21	6.55	6.13	0.69	0.96	0.42	3.340e-4	0.0447	(A) Asian
NUDT2	9p13.3	6.91	6.59	0.55	0.61	0.32	3.366e-4	0.0447	(A) Asian
PPP2R2D	10q26.3	9.46	9.32	0.25	0.24	0.14	3.440e-4	0.0454	(A) Asian
SIGLEC12	19q13.41	2.99	1.98	1.79	1.58	1.01	3.657e-4	0.0480	(A) Asian
RAB40A	Xq22.2	3.05	2.71	0.59	0.68	0.34	3.742e-4	0.0484	(A) Asian
PM20D1	1q32.1	2.90	2.03	1.53	1.58	0.88	3.743e-4	0.0484	(A) Asian
SYT3	19q13.33	3.01	2.18	1.44	1.60	0.83	3.840e-4	0.0494	(A) Asian
SUPT20HL1	Xp22.11	0.01	0.05	0.05	0.19	-0.04	4.002e-4	0.0505	(B) White
PGGT1B	5q22.3	7.90	8.06	0.29	0.33	-0.17	4.138e-4	0.0516	(B) White
POMZP3	7q11.23	7.13	7.58	0.80	0.78	-0.45	4.229e-4	0.0521	(B) White
SEC14L3	22q12.2	1.85	0.79	1.95	1.10	1.06	4.236e-4	0.0521	(A) Asian
KCNMB4	12q15	6.86	6.45	0.69	1.00	0.41	4.339e-4	0.0531	(A) Asian
HS3ST3B1	17p12	1.49	2.02	0.91	1.13	-0.52	4.602e-4	0.0560	(B) White
STMP1	7q33	10.02	10.19	0.30	0.35	-0.17	4.642e-4	0.0561	(B) White
COL21A1	6p12.1|6p12.3-p11.2	6.50	5.93	0.96	1.44	0.57	4.747e-4	0.0570	(A) Asian
SCN10A	3p22.2	0.02	0.09	0.09	0.22	-0.06	4.771e-4	0.0570	(B) White
MAGEA12	Xq28	0.10	0.29	0.30	0.63	-0.20	4.951e-4	0.0585	(B) White
GADL1	3p24.1-p23	0.01	0.06	0.04	0.26	-0.06	4.961e-4	0.0585	(B) White
G0S2	1q32.2	8.57	7.64	1.64	1.94	0.93	5.022e-4	0.0589	(A) Asian
CCDC163	1p34.1	3.07	3.71	1.15	1.27	-0.65	5.081e-4	0.0593	(B) White
IGFBP1	7p12.3	0.65	1.04	0.64	1.07	-0.39	5.293e-4	0.0614	(B) White
C10ORF82	10q25.3	4.92	4.30	1.00	1.85	0.62	5.402e-4	0.0623	(A) Asian
POLR2J2	7q22.1	8.96	8.36	1.02	1.55	0.60	5.776e-4	0.0653	(A) Asian
SHISA2	13q12.13	10.51	9.95	0.98	1.30	0.56	5.784e-4	0.0653	(A) Asian
FAM157B	9q34.3	0.59	0.96	0.66	0.85	-0.37	5.791e-4	0.0653	(B) White
DHDH	19q13.33	3.42	4.19	1.37	1.62	-0.77	5.792e-4	0.0653	(B) White
OR1B1	9q33.2	0.01	0.05	0.06	0.16	-0.05	5.911e-4	0.0659	(B) White
CCZ1	7p22.1	9.57	9.41	0.28	0.41	0.16	5.928e-4	0.0659	(A) Asian
CKMT2	5q14.1	6.64	5.86	1.39	1.62	0.78	5.942e-4	0.0659	(A) Asian
DACH1	13q21.33	2.37	2.98	1.10	1.13	-0.60	6.149e-4	0.0678	(B) White
KRT77	12q13.13	0.01	0.07	0.06	0.25	-0.06	6.287e-4	0.0683	(B) White
DDIT4	10q22.1	10.34	10.78	0.80	0.95	-0.45	6.323e-4	0.0683	(B) White
OR51B5	11p15.4	0.67	0.37	0.55	0.44	0.29	6.350e-4	0.0683	(A) Asian
LACTB2	8q13.3	8.02	8.30	0.51	0.57	-0.28	6.355e-4	0.0683	(B) White
OBSCN	1q42.13	10.54	10.29	0.43	0.64	0.25	6.365e-4	0.0683	(A) Asian
TMEM215	9p21.1	8.37	7.13	2.20	2.85	1.24	6.530e-4	0.0693	(A) Asian
CA11	19q13.33	10.28	9.92	0.63	0.86	0.36	6.597e-4	0.0697	(A) Asian
TNMD	Xq22.1	0.33	0.58	0.42	0.75	-0.25	6.758e-4	0.0708	(B) White
C14ORF178	14q24.3	0.79	1.15	0.66	0.64	-0.36	6.835e-4	0.0708	(B) White
TYW1	7q11.21	9.02	9.16	0.24	0.26	-0.13	6.842e-4	0.0708	(B) White
ANXA5	4q27	13.18	13.00	0.32	0.40	0.18	6.847e-4	0.0708	(A) Asian
DEFA5	8p23.1	0.01	0.08	0.07	0.35	-0.07	6.927e-4	0.0713	(B) White
SULT1A1	16p11.2	9.97	9.54	0.76	0.97	0.43	6.986e-4	0.0715	(A) Asian
TRIM36	5q22.3	4.81	5.72	1.64	2.00	-0.91	7.095e-4	0.0723	(B) White
C6ORF15	6p21.33	0.62	1.07	0.83	0.98	-0.46	7.331e-4	0.0738	(B) White
SRP14P1	12p13.31	3.06	3.36	0.56	0.64	-0.31	7.331e-4	0.0738	(B) White
THEG	19p13.3	1.32	0.55	1.47	1.02	0.77	7.356e-4	0.0738	(A) Asian
OPRPN	4q13.3	0.17	0.38	0.35	0.60	-0.21	7.393e-4	0.0738	(B) White
SNORA2C	12q13.11	0.01	0.06	0.06	0.20	-0.05	7.469e-4	0.0742	(B) White
TRNT1	3p26.2	8.45	8.28	0.33	0.32	0.17	7.563e-4	0.0743	(A) Asian
XPNPEP3	22q13.2	6.61	6.86	0.47	0.46	-0.25	7.568e-4	0.0743	(B) White
CLTRN	Xp22.2	6.17	5.79	0.71	0.78	0.38	7.645e-4	0.0745	(A) Asian
KRT36	17q21.2	0.18	0.37	0.32	0.53	-0.19	7.699e-4	0.0746	(B) White
RANBP17	5q35.1	6.16	5.64	0.88	1.49	0.52	7.749e-4	0.0747	(A) Asian
ADAMTSL5	19p13.3	5.03	4.43	1.06	1.57	0.60	7.846e-4	0.0753	(A) Asian
TMC4	19q13.42	11.51	11.32	0.34	0.48	0.19	7.902e-4	0.0755	(A) Asian
RTL4	Xq23	7.33	6.31	1.78	2.75	1.02	8.110e-4	0.0766	(A) Asian
MISP	19p13.3	7.38	6.45	1.63	2.41	0.93	8.129e-4	0.0766	(A) Asian
MYT1	20q13.33	4.92	4.42	0.86	1.34	0.49	8.199e-4	0.0766	(A) Asian
MS4A3	11q12.1	0.02	0.09	0.09	0.29	-0.07	8.211e-4	0.0766	(B) White
MST1L	1p36.13	6.58	5.89	1.28	1.48	0.70	8.324e-4	0.0769	(A) Asian
HGC6.3	6q27	0.04	0.13	0.15	0.33	-0.09	8.358e-4	0.0769	(B) White
PSORS1C2	6p21.33	2.07	1.43	1.21	1.14	0.64	8.635e-4	0.0788	(A) Asian
TMEM187	Xq28	7.47	7.69	0.41	0.42	-0.22	8.667e-4	0.0788	(B) White
SBSN	19q13.12	1.66	2.33	1.17	1.89	-0.68	8.675e-4	0.0788	(B) White
RNF217-AS1	6q22.31	4.59	4.15	0.84	0.81	0.44	8.785e-4	0.0792	(A) Asian
LTBP4	19q13.2	12.77	12.38	0.72	0.84	0.39	8.884e-4	0.0792	(A) Asian
IP6K2	3p21.31	11.07	10.85	0.42	0.43	0.22	8.901e-4	0.0792	(A) Asian
HIST1H4F	6p22.2	0.03	0.12	0.13	0.36	-0.09	8.948e-4	0.0792	(B) White
ZFP37	9q32	6.98	6.74	0.39	0.70	0.23	9.016e-4	0.0792	(A) Asian
AQP7P1	9q13	1.46	0.99	0.89	0.89	0.47	9.064e-4	0.0792	(A) Asian
CLCA3P	1p22.3	0.04	0.13	0.13	0.34	-0.09	9.083e-4	0.0792	(B) White
SFTPA1	10q22.3	6.00	3.75	4.34	3.42	2.25	9.116e-4	0.0792	(A) Asian
PKP4	2q24.1	12.05	11.86	0.35	0.48	0.19	9.121e-4	0.0792	(A) Asian
MTMR9LP	1p35.2	7.94	7.47	0.88	0.92	0.47	9.265e-4	0.0798	(A) Asian
FANCG	9p13.3	8.01	7.84	0.32	0.34	0.17	9.314e-4	0.0798	(A) Asian
RSU1P2	10q11.21	0.02	0.09	0.11	0.26	-0.07	9.326e-4	0.0798	(B) White
ERCC3	2q14.3	9.95	9.86	0.17	0.22	0.09	9.379e-4	0.0798	(A) Asian
APOBEC3B	22q13.1	4.81	5.69	1.72	1.26	-0.89	9.418e-4	0.0798	(B) White
FBN3	19p13.2	9.19	8.62	1.00	1.62	0.57	9.425e-4	0.0798	(A) Asian
SLC22A15	1p13.1	6.09	5.75	0.62	0.75	0.33	9.558e-4	0.0806	(A) Asian
FAM83E	19q13.33	1.09	1.67	1.00	1.63	-0.57	9.631e-4	0.0808	(B) White
LIPT1	2q11.2	7.52	7.35	0.31	0.42	0.17	9.857e-4	0.0824	(A) Asian
EMILIN3	20q12	5.78	4.94	1.57	1.69	0.83	9.988e-4	0.0830	(A) Asian
TMEM74B	20p13	5.61	5.10	0.96	1.02	0.51	1.002e-3	0.0830	(A) Asian
UBQLNL	11p15.4	3.95	3.59	0.68	0.76	0.36	1.033e-3	0.0849	(A) Asian
WHAMMP3	15q11.2	6.64	6.37	0.50	0.61	0.27	1.049e-3	0.0859	(A) Asian
RBM14	11q13.2	10.07	9.98	0.17	0.21	0.09	1.058e-3	0.0863	(A) Asian
TRMO	9q22.33	8.37	8.21	0.31	0.36	0.16	1.084e-3	0.0876	(A) Asian
HES6	2q37.3	8.37	7.77	1.14	1.28	0.60	1.091e-3	0.0876	(A) Asian
SLC23A3	2q35	3.76	3.36	0.73	0.98	0.39	1.093e-3	0.0876	(A) Asian
FGF7P3	9p12	7.17	7.57	0.78	0.76	-0.40	1.096e-3	0.0876	(B) White
CCL15-CCL14	17q12	0.08	0.30	0.30	0.91	-0.22	1.124e-3	0.0891	(B) White
AKT1	14q32.33	12.10	11.98	0.23	0.31	0.13	1.134e-3	0.0892	(A) Asian
HPCAL4	1p34.2	8.04	7.18	1.57	2.31	0.87	1.148e-3	0.0900	(A) Asian
UFSP1	7q22.1	4.55	4.87	0.59	0.73	-0.31	1.159e-3	0.0905	(B) White
SRR	17p13.3	8.07	7.93	0.27	0.36	0.14	1.198e-3	0.0923	(A) Asian
UPK1A	19q13.12	0.18	0.36	0.31	0.57	-0.18	1.205e-3	0.0923	(B) White
AVIL	12q14.1	6.17	5.64	1.00	1.13	0.52	1.207e-3	0.0923	(A) Asian
LBH	2p23.1	12.49	12.26	0.43	0.60	0.23	1.210e-3	0.0923	(A) Asian
NCKIPSD	3p21.31	9.39	9.26	0.25	0.32	0.13	1.221e-3	0.0925	(A) Asian
ASMTL-AS1	Xp22.33 and Yp11.2	6.83	6.22	1.17	1.30	0.61	1.244e-3	0.0927	(A) Asian
OR2A9P	7q35	8.65	8.38	0.50	0.71	0.27	1.246e-3	0.0927	(A) Asian
SFTPA2	10q22.3	5.35	3.66	3.37	2.74	1.70	1.255e-3	0.0927	(A) Asian
SCMH1	1p34.2	10.21	10.08	0.24	0.29	0.13	1.257e-3	0.0927	(A) Asian
LINC00965	8p23.1	2.83	2.38	0.86	0.97	0.45	1.259e-3	0.0927	(A) Asian
LRRC37A2	17q21.31	6.40	6.82	0.81	0.93	-0.42	1.262e-3	0.0927	(B) White
DUSP10	1q41	7.08	7.50	0.80	0.94	-0.42	1.274e-3	0.0927	(B) White
CBLN1	16q12.1	8.06	6.91	2.22	2.42	1.15	1.274e-3	0.0927	(A) Asian
SERHL	22q13.2	6.47	6.14	0.66	0.62	0.34	1.275e-3	0.0927	(A) Asian
HEY2	6q22.31	8.91	8.48	0.83	0.90	0.43	1.278e-3	0.0927	(A) Asian
NLRP6	11p15.5	0.68	1.12	0.81	1.11	-0.44	1.279e-3	0.0927	(B) White
GGT5	22q11.23	10.99	10.58	0.78	0.99	0.41	1.280e-3	0.0927	(A) Asian
BEST3	12q15	0.06	0.21	0.24	0.60	-0.15	1.289e-3	0.0930	(B) White
OR7E91P	2p13.3	2.56	3.19	1.25	1.28	-0.64	1.298e-3	0.0933	(B) White
SLC47A2	17p11.2	2.49	2.91	0.74	1.34	-0.42	1.307e-3	0.0936	(B) White
SLC9A2	2q12.1	4.95	5.60	1.28	1.22	-0.65	1.316e-3	0.0938	(B) White
POMT1	9q34.13	9.42	9.28	0.27	0.35	0.14	1.321e-3	0.0938	(A) Asian
FOXD4	9p24.3	3.12	2.68	0.86	0.89	0.44	1.323e-3	0.0938	(A) Asian
UTS2R	17q25.3	2.12	2.98	1.66	1.84	-0.86	1.328e-3	0.0938	(B) White
LINC00930	15q26.1	2.65	2.15	0.94	1.27	0.50	1.355e-3	0.0954	(A) Asian
DNAJB12	10q22.1	10.66	10.54	0.24	0.24	0.12	1.381e-3	0.0966	(A) Asian
FPR2	19q13.41	1.69	2.28	1.11	1.53	-0.59	1.382e-3	0.0966	(B) White
PLIN5	19p13.3	6.95	6.48	0.91	1.10	0.47	1.386e-3	0.0966	(A) Asian
APLP2	11q24.3	16.16	15.93	0.42	0.60	0.23	1.399e-3	0.0971	(A) Asian
KIF17	1p36.12	5.75	5.43	0.61	0.81	0.32	1.407e-3	0.0972	(A) Asian
GLP2R	17p13.1	0.09	0.26	0.28	0.55	-0.16	1.410e-3	0.0972	(B) White
ADGRG1	16q21	13.59	13.83	0.46	0.54	-0.24	1.424e-3	0.0978	(B) White
ERP27	12p12.3	9.09	8.47	1.21	1.40	0.62	1.452e-3	0.0988	(A) Asian
NUTM2F	9q22.32	1.61	1.18	0.87	0.67	0.43	1.453e-3	0.0988	(A) Asian
CPSF2	14q32.12	9.94	10.09	0.30	0.30	-0.15	1.460e-3	0.0989	(B) White
CYP2A13	19q13.2	0.01	0.06	0.06	0.23	-0.05	1.466e-3	0.0990	(B) White
ATP10A	15q12	7.94	7.37	1.11	1.24	0.57	1.470e-3	0.0990	(A) Asian
SLC44A5	1p31.1	3.03	3.96	1.76	2.41	-0.93	1.503e-3	0.101	(B) White
SNORA46	16q21	0.01	0.06	0.05	0.26	-0.05	1.532e-3	0.102	(B) White
AKR1B10	7q33	0.62	1.07	0.75	1.64	-0.45	1.548e-3	0.103	(B) White
SVOPL	7q34	5.56	4.88	1.28	1.79	0.68	1.550e-3	0.103	(A) Asian
HID1	17q25.1	9.17	8.95	0.43	0.55	0.22	1.575e-3	0.104	(A) Asian
GSTT1	22q11.23	6.21	8.74	5.16	4.03	-2.53	1.581e-3	0.104	(B) White
SALL1	16q12.1	10.98	10.57	0.76	1.24	0.42	1.595e-3	0.104	(A) Asian
PIR	Xp22.2	7.44	7.00	0.86	0.91	0.44	1.601e-3	0.104	(A) Asian
TNXB	6p21.33-p21.32	9.59	9.06	1.04	1.06	0.52	1.601e-3	0.104	(A) Asian
KCTD8	4p13	5.32	4.59	1.43	1.75	0.74	1.604e-3	0.104	(A) Asian
SPATA6L	9p24.2-p24.1	7.20	6.91	0.59	0.65	0.30	1.647e-3	0.106	(A) Asian
ZNF181	19q13.11	8.00	7.84	0.30	0.40	0.16	1.665e-3	0.107	(A) Asian
SPATA22	17p13.2	0.23	0.44	0.31	0.89	-0.21	1.670e-3	0.107	(B) White
MMD	17q22	7.69	8.07	0.75	0.83	-0.38	1.705e-3	0.109	(B) White
ZNF239	10q11.21	6.66	6.48	0.34	0.46	0.18	1.708e-3	0.109	(A) Asian
