Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
BAP1	3p21.1	-1.36	-1.41	0.61	0.53	0.04	0.618	0.885	(A) Asian
YBX1	1p34.2	-0.50	-0.54	0.67	0.51	0.04	0.622	0.885	(A) Asian
CASP7	10q25.3	0.35	0.42	0.93	1.17	-0.07	0.623	0.885	(B) White
MAP2K1	15q22.31	0.71	0.73	0.32	0.28	-0.02	0.627	0.885	(B) White
BAX	19q13.33	1.24	1.26	0.36	0.40	-0.03	0.631	0.885	(B) White
NRAS	1p13.2	-1.56	-1.55	0.25	0.27	-0.02	0.632	0.885	(B) White
MAPK1_PT202_Y204	5q21-q22	-0.70	-0.66	0.63	0.62	-0.04	0.641	0.885	(B) White
MAPK3_PT202_Y204	5q21-q22	-0.70	-0.66	0.63	0.62	-0.04	0.641	0.885	(B) White
RAB25	1q22	-0.96	-1.01	0.77	0.71	0.05	0.644	0.885	(A) Asian
MAPK9	5q35.3	0.62	0.65	0.44	0.35	-0.03	0.644	0.885	(B) White
ACACA	17q12	0.94	1.00	0.88	0.80	-0.06	0.655	0.892	(B) White
RICTOR	5p13.1	2.21	2.34	2.13	1.96	-0.13	0.658	0.892	(B) White
CDK1	10q21.2	0.40	0.41	0.18	0.17	-0.01	0.669	0.901	(B) White
MYH11	16p13.11	4.55	4.77	3.64	3.55	-0.22	0.674	0.902	(B) White
TIGAR	12p13.32	1.86	1.81	0.87	0.84	0.05	0.695	0.913	(A) Asian
ETS1	11q24.3	0.97	1.02	0.88	0.86	-0.05	0.696	0.913	(B) White
SYK	9q22.2	1.84	1.81	0.69	0.55	0.04	0.696	0.913	(A) Asian
MRE11	11q21	0.10	0.11	0.25	0.22	-0.01	0.706	0.915	(B) White
PRKCA	17q24.2	0.06	0.04	0.44	0.48	0.02	0.716	0.915	(A) Asian
ADAR	1q21.3	-1.72	-1.73	0.31	0.24	0.02	0.717	0.915	(A) Asian
TFRC	3q29	1.23	1.29	1.08	0.86	-0.05	0.724	0.915	(B) White
SERPINE1	7q22.1	-2.27	-2.23	0.91	0.83	-0.04	0.725	0.915	(B) White
PEA15_PS116	1p36.2	0.23	0.27	0.90	0.97	-0.05	0.730	0.915	(B) White
ESR1	6q25.1-q25.2	-1.80	-1.82	0.38	0.28	0.02	0.732	0.915	(A) Asian
DIRAS3	1p31.3	-2.84	-2.83	0.24	0.22	-0.01	0.735	0.915	(B) White
WWTR1	3q25.1	0.20	0.21	0.15	0.15	-0.01	0.743	0.915	(B) White
RPS6KB1_PT389	6q21	-1.28	-1.26	0.50	0.41	-0.02	0.745	0.915	(B) White
RBM15	1p13.3	1.31	1.34	0.72	0.60	-0.03	0.746	0.915	(B) White
LCK	1p35.2	0.87	0.85	0.51	0.39	0.02	0.756	0.921	(A) Asian
YAP1	11q22.1	0.34	0.32	0.36	0.27	0.01	0.781	0.938	(A) Asian
BIRC2	11q22.2	0.27	0.28	0.24	0.27	-0.01	0.782	0.938	(B) White
MAPK1	22q11.22	1.30	1.33	0.59	0.59	-0.02	0.785	0.938	(B) White
TP53	17p13.1	-1.50	-1.48	0.49	0.45	-0.02	0.787	0.938	(B) White
CLDN7	17p13.1	1.62	1.58	1.21	1.05	0.04	0.818	0.951	(A) Asian
AKT1	14q32.33	0.69	0.70	0.45	0.44	-0.01	0.826	0.951	(B) White
AKT2	19q13.2	0.69	0.70	0.45	0.44	-0.01	0.826	0.951	(B) White
AKT3	1q43-q44	0.69	0.70	0.45	0.44	-0.01	0.826	0.951	(B) White
ERBB3	12q13.2	0.06	0.07	0.40	0.35	-0.01	0.833	0.951	(B) White
PREX1	20q13.13	-0.41	-0.43	0.42	0.43	0.01	0.834	0.951	(A) Asian
PIK3R1	5q13.1	1.49	1.50	0.25	0.29	-0.01	0.836	0.951	(B) White
PIK3R2	19p13.11	1.49	1.50	0.25	0.29	-0.01	0.836	0.951	(B) White
PRKAA1_PT172	19q13.1-q13.2	2.49	2.47	0.49	0.49	0.01	0.852	0.964	(A) Asian
BRCA2	13q13.1	-0.40	-0.41	0.24	0.22	0.01	0.858	0.965	(A) Asian
CDKN1B	12p13.1	0.33	0.36	1.13	0.95	-0.03	0.866	0.965	(B) White
XRCC5	2q35	1.20	1.21	0.57	0.46	-0.01	0.866	0.965	(B) White
BCL2L11	2q13	-0.20	-0.19	0.37	0.40	-0.01	0.888	0.979	(B) White
NRG1	8p12	-1.29	-1.28	0.37	0.30	-0.01	0.892	0.979	(B) White
CCND1	11q13.3	0.19	0.19	0.20	0.24	0.00	0.899	0.979	(A) Asian
ASNS	7q21.3	-0.33	-0.32	0.68	0.66	-0.01	0.899	0.979	(B) White
CDKN1B_PT198	Xp11.4-p11.2	-0.00	0.00	0.19	0.17	-0.00	0.903	0.979	(B) White
STMN1	1p36.11	-0.15	-0.14	0.27	0.23	-0.00	0.926	0.995	(B) White
TUBA1B	12q13.12	1.24	1.25	0.55	0.60	-0.01	0.929	0.995	(B) White
PRKCA_PS657	4q24	-0.08	-0.07	0.37	0.47	-0.00	0.936	0.995	(B) White
YWHAZ	8q22.3	1.30	1.30	0.41	0.44	0.00	0.937	0.995	(A) Asian
EEF2	19p13.3	1.25	1.25	0.76	0.65	0.01	0.947	1.00	(A) Asian
FASN	17q25.3	-0.15	-0.16	0.93	0.90	0.01	0.953	1.00	(A) Asian
RB1_PS807_S811	5q21-q22	-0.23	-0.23	0.57	0.70	-0.00	0.960	1.00	(B) White
GSK3A_PS9	8p11.1	0.14	0.14	0.47	0.52	-0.00	0.972	1.00	(B) White
GSK3B_PS9	8p11.1	0.14	0.14	0.47	0.52	-0.00	0.972	1.00	(B) White
EIF4EBP1_PT37	8p12	0.28	0.28	0.61	0.63	0.00	0.977	1.00	(A) Asian
ERBB3_PY1298	22q13.1	0.42	0.42	0.15	0.17	0.00	0.983	1.00	(A) Asian
YWHAB	20q13.12	-0.25	-0.25	0.23	0.26	0.00	0.985	1.00	(A) Asian
ACVRL1	12q13.13	-0.33	-0.33	0.34	0.32	-0.00	0.988	1.00	(B) White
CCNE1	19q12	-0.55	-0.55	0.90	0.74	0.00	0.991	1.00	(A) Asian
TGM2	20q11.23	-0.06	-0.06	0.66	0.65	-0.00	0.995	1.00	(B) White
RPS6	9p22.1	-0.06	-0.06	0.81	0.77	0.00	1.00	1.00	(A) Asian
