Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
FYCO1	3p21.31	9.24	9.73	0.72	0.58	-0.48	6.62e-9	3.397e-6	(B) White
TOP1MT	8q24.3	9.94	9.38	0.82	0.77	0.56	8.29e-9	4.134e-6	(A) Black or African American
UQCRFS1	19q12	11.08	10.42	1.02	0.75	0.67	8.73e-9	4.236e-6	(A) Black or African American
DHRS4-AS1	14q11.2	8.58	9.12	0.82	0.61	-0.54	1.04e-8	4.887e-6	(B) White
CNN2	19p13.3	11.42	12.14	1.07	0.94	-0.71	1.18e-8	5.407e-6	(B) White
FAM90A7P	8p23.1	0.78	1.45	0.95	1.12	-0.67	1.27e-8	5.663e-6	(B) White
PKDREJ	22q13.31	2.32	3.11	1.19	1.02	-0.79	1.34e-8	5.667e-6	(B) White
MGRN1	16p13.3	10.90	11.28	0.52	0.71	-0.38	1.34e-8	5.667e-6	(B) White
XRCC4	5q14.2	7.09	6.68	0.58	0.66	0.40	1.37e-8	5.667e-6	(A) Black or African American
CTAGE6	7q35	2.88	3.72	1.27	1.13	-0.84	1.40e-8	5.667e-6	(B) White
ARL17A	17q21.31	6.00	6.51	0.76	0.71	-0.51	1.58e-8	6.257e-6	(B) White
FAM66A	8p23.1	1.39	2.12	1.06	1.17	-0.73	1.65e-8	6.413e-6	(B) White
ZNF285	19q13.31	5.66	4.34	1.95	2.09	1.33	1.72e-8	6.544e-6	(A) Black or African American
SERPINC1	1q25.1	1.82	1.01	1.26	0.96	0.81	1.77e-8	6.590e-6	(A) Black or African American
LINC00472	6q13	4.03	3.03	1.47	1.60	1.00	1.96e-8	7.131e-6	(A) Black or African American
CASP2	7q34	10.17	10.48	0.47	0.46	-0.31	2.23e-8	7.949e-6	(B) White
LOC100133331	1p36.33	7.28	8.19	1.43	1.12	-0.91	2.66e-8	9.163e-6	(B) White
CTSL	9q21.33	10.57	10.00	0.86	0.82	0.57	2.68e-8	9.163e-6	(A) Black or African American
PHOSPHO2	2q31.1	5.87	5.32	0.78	1.04	0.55	2.74e-8	9.185e-6	(A) Black or African American
RPL35A	3q29	13.95	13.48	0.72	0.70	0.47	2.92e-8	9.610e-6	(A) Black or African American
RNF112	17p11.2	3.86	2.99	1.36	1.24	0.87	3.63e-8	1.159e-5	(A) Black or African American
NAPEPLD	7q22.1	8.42	8.89	0.70	0.75	-0.47	3.65e-8	1.159e-5	(B) White
CAPN8	1q41	2.77	4.09	1.99	2.16	-1.32	4.33e-8	1.334e-5	(B) White
SH3GL1	19p13.3	11.16	11.50	0.53	0.48	-0.34	4.36e-8	1.334e-5	(B) White
GRM2	3p21.2	3.17	3.93	1.11	1.40	-0.76	4.89e-8	1.471e-5	(B) White
ALKBH3	11p11.2	7.85	7.00	1.25	1.62	0.86	5.05e-8	1.493e-5	(A) Black or African American
ARHGAP1	11p11.2	11.18	11.55	0.59	0.53	-0.37	5.17e-8	1.505e-5	(B) White
CBWD2	2q14.1	9.33	8.97	0.55	0.60	0.36	5.52e-8	1.580e-5	(A) Black or African American
BOD1	5q35.2	9.93	9.59	0.54	0.49	0.34	6.00e-8	1.691e-5	(A) Black or African American
SNHG17	20q11.23	9.55	9.03	0.83	0.76	0.52	7.53e-8	2.088e-5	(A) Black or African American
NUDT9P1	10q23.32	1.83	1.11	1.15	1.02	0.72	8.39e-8	2.288e-5	(A) Black or African American
EIF4A2	3q27.3	13.02	12.65	0.59	0.53	0.37	8.67e-8	2.328e-5	(A) Black or African American
C17ORF75	17q11.2	8.19	7.83	0.57	0.57	0.36	9.45e-8	2.499e-5	(A) Black or African American
MED30	8q24.11	7.74	7.28	0.76	0.63	0.47	1.00e-7	2.609e-5	(A) Black or African American
WNK4	17q21.2	4.26	5.38	1.78	1.82	-1.12	1.03e-7	2.615e-5	(B) White
NDUFB3	2q33.1	9.41	9.05	0.57	0.60	0.36	1.04e-7	2.615e-5	(A) Black or African American
ZBTB7A	19p13.3	9.34	9.66	0.50	0.59	-0.33	1.07e-7	2.615e-5	(B) White
XRCC6P5	Xq22.1	1.88	2.38	0.79	0.80	-0.50	1.07e-7	2.615e-5	(B) White
TUBB8	10p15.3	4.41	3.73	1.11	0.89	0.67	1.09e-7	2.615e-5	(A) Black or African American
CLNS1A	11q14.1	10.97	10.61	0.58	0.51	0.35	1.10e-7	2.615e-5	(A) Black or African American
TTYH3	7p22.3	11.48	12.01	0.85	0.77	-0.53	1.12e-7	2.615e-5	(B) White
MRPS18C	4q21.23	8.35	7.99	0.59	0.51	0.36	1.15e-7	2.615e-5	(A) Black or African American
ZNF334	20q13.12	4.47	3.01	2.38	2.10	1.46	1.15e-7	2.615e-5	(A) Black or African American
R3HDM4	19p13.3	10.93	11.31	0.61	0.55	-0.38	1.17e-7	2.615e-5	(B) White
TP53I11	11p11.2	10.15	10.84	1.11	0.99	-0.68	1.17e-7	2.615e-5	(B) White
ZSCAN23	6p22.1	3.45	2.14	2.14	1.88	1.31	1.29e-7	2.854e-5	(A) Black or African American
TCF15	20p13	4.74	3.51	1.99	1.91	1.23	1.36e-7	2.959e-5	(A) Black or African American
AP3S2	15q26.1	10.24	10.49	0.41	0.43	-0.26	1.49e-7	3.178e-5	(B) White
PPT1	1p34.2	11.56	11.21	0.56	0.61	0.35	1.51e-7	3.178e-5	(A) Black or African American
RPS10	6p21.31	13.21	12.74	0.78	0.63	0.47	1.51e-7	3.178e-5	(A) Black or African American
SMIM12	1p34.3	9.43	9.09	0.56	0.43	0.33	1.54e-7	3.206e-5	(A) Black or African American
RPS27A	2p16.1	13.55	13.13	0.70	0.61	0.42	1.62e-7	3.283e-5	(A) Black or African American
MYO1C	17p13.3	11.70	12.14	0.73	0.66	-0.44	1.62e-7	3.283e-5	(B) White
SIPA1L1	14q24.2	10.09	10.47	0.63	0.54	-0.38	1.67e-7	3.352e-5	(B) White
SDHAF1	19q13.12	8.28	7.83	0.76	0.55	0.45	1.84e-7	3.648e-5	(A) Black or African American
NIT2	3q12.2	10.03	9.71	0.52	0.57	0.32	2.21e-7	4.336e-5	(A) Black or African American
VN1R1	19q13.43	3.41	2.73	1.09	1.20	0.68	2.39e-7	4.631e-5	(A) Black or African American
RPS28	19p13.2	6.52	8.05	2.67	1.61	-1.52	2.68e-7	5.107e-5	(B) White
NDUFB5	3q26.33	10.71	10.35	0.54	0.72	0.35	2.69e-7	5.107e-5	(A) Black or African American
SELENOF	1p22.3	11.72	11.48	0.37	0.52	0.24	2.79e-7	5.232e-5	(A) Black or African American
MKNK2	19p13.3	11.86	12.30	0.73	0.64	-0.43	2.85e-7	5.301e-5	(B) White
TMEM186	16p13.2	8.17	7.75	0.71	0.55	0.41	2.92e-7	5.371e-5	(A) Black or African American
N4BP1	16q12.1	9.69	9.97	0.47	0.46	-0.28	3.07e-7	5.588e-5	(B) White
FTSJ3	17q23.3	10.46	10.06	0.66	0.61	0.39	3.29e-7	5.916e-5	(A) Black or African American
HNRNPH1	5q35.3	12.20	11.93	0.45	0.50	0.28	3.34e-7	5.949e-5	(A) Black or African American
LSM6	4q31.22	8.20	7.86	0.57	0.57	0.34	3.48e-7	6.138e-5	(A) Black or African American
IGLL3P	22q11.23	0.61	1.13	0.81	1.05	-0.52	3.57e-7	6.238e-5	(B) White
PLA2G4C	19q13.33	6.23	5.47	1.30	1.12	0.76	4.05e-7	7.005e-5	(A) Black or African American
HBB	11p15.4	8.12	6.97	1.91	2.00	1.15	4.09e-7	7.005e-5	(A) Black or African American
MRPS23	17q22	9.75	9.39	0.61	0.55	0.36	4.15e-7	7.037e-5	(A) Black or African American
URI1	19q12	10.78	10.25	0.93	0.64	0.53	4.21e-7	7.037e-5	(A) Black or African American
LINC01139	1q43	5.04	3.69	2.24	2.31	1.34	4.23e-7	7.037e-5	(A) Black or African American
SDHAP3	5p15.33	7.12	6.63	0.84	0.67	0.48	4.36e-7	7.182e-5	(A) Black or African American
ZMAT2	5q31.3	10.62	10.32	0.51	0.46	0.30	4.43e-7	7.234e-5	(A) Black or African American
TATDN1	8q24.13	8.74	8.34	0.67	0.68	0.40	4.61e-7	7.410e-5	(A) Black or African American
RPS26	12q13.2	10.22	9.71	0.87	0.80	0.51	4.63e-7	7.410e-5	(A) Black or African American
PRMT6	1p13.3	9.27	8.87	0.63	0.83	0.40	4.75e-7	7.533e-5	(A) Black or African American
HSP90B1	12q23.3	14.89	14.57	0.53	0.57	0.32	4.87e-7	7.652e-5	(A) Black or African American
TRPM4	19q13.33	10.21	10.90	1.15	1.18	-0.68	4.95e-7	7.709e-5	(B) White
C1QTNF9	13q12.12	2.35	3.10	1.25	1.34	-0.75	5.02e-7	7.755e-5	(B) White
SDHAP2	3q29	7.78	7.35	0.72	0.78	0.43	5.17e-7	7.914e-5	(A) Black or African American
NLGN1	3q26.31	3.01	1.89	1.93	1.79	1.12	5.30e-7	8.044e-5	(A) Black or African American
POLR2A	17p13.1	12.13	12.55	0.69	0.76	-0.41	5.79e-7	8.711e-5	(B) White
UNC50	2q11.2	9.31	9.07	0.42	0.43	0.25	5.88e-7	8.780e-5	(A) Black or African American
PRSS45P	3p21.31	2.79	1.82	1.66	1.59	0.97	6.21e-7	9.182e-5	(A) Black or African American
PDCL3P4	3q12.3	6.41	6.11	0.50	0.55	0.30	6.28e-7	9.217e-5	(A) Black or African American
PWP2	21q22.3	9.97	9.66	0.53	0.52	0.31	6.39e-7	9.217e-5	(A) Black or African American
SDF2	17q11.2	9.96	9.60	0.61	0.59	0.36	6.39e-7	9.217e-5	(A) Black or African American
LGALS17A	19q13.2	2.77	1.63	2.03	1.64	1.15	6.58e-7	9.413e-5	(A) Black or African American
DNAJB11	3q27.3	11.24	10.90	0.57	0.62	0.34	6.85e-7	9.575e-5	(A) Black or African American
SMYD4	17p13.3	7.69	7.99	0.50	0.49	-0.29	6.89e-7	9.575e-5	(B) White
LINC01000	7q32.1	9.54	10.08	0.91	0.92	-0.53	6.96e-7	9.575e-5	(B) White
FXR1	3q26.33	11.30	10.99	0.54	0.52	0.32	6.96e-7	9.575e-5	(A) Black or African American
CNBP	3q21.3	12.75	12.50	0.43	0.37	0.25	6.97e-7	9.575e-5	(A) Black or African American
NECTIN1	11q23.3	9.72	10.25	0.90	0.90	-0.52	7.11e-7	9.698e-5	(B) White
ZNF565	19q13.12	6.24	5.89	0.61	0.54	0.35	7.30e-7	9.877e-5	(A) Black or African American
RDH14	2p24.2	8.88	8.62	0.44	0.50	0.26	7.47e-7	1.002e-4	(A) Black or African American
LAP3	4p15.32	10.84	10.36	0.80	0.86	0.47	7.53e-7	1.002e-4	(A) Black or African American
CTSF	11q13.2	10.24	9.52	1.25	1.18	0.72	7.58e-7	1.002e-4	(A) Black or African American
SPACA6	19q13.41	6.59	5.97	1.05	1.14	0.62	7.70e-7	1.008e-4	(A) Black or African American
KATNA1	6q25.1	8.28	7.99	0.49	0.49	0.29	7.74e-7	1.008e-4	(A) Black or African American
MXRA7	17q25.1	11.06	10.61	0.75	0.80	0.44	8.07e-7	1.043e-4	(A) Black or African American
RPL10A	6p21.31	13.88	13.52	0.64	0.56	0.36	8.17e-7	1.048e-4	(A) Black or African American
SFT2D1	6q27	9.19	8.92	0.46	0.46	0.27	8.46e-7	1.068e-4	(A) Black or African American
BGN	Xq28	11.56	12.32	1.32	1.35	-0.77	8.48e-7	1.068e-4	(B) White
ZNRF2P1	7p14.3	5.55	6.27	1.26	1.16	-0.72	8.50e-7	1.068e-4	(B) White
AUH	9q22.31	7.73	7.39	0.56	0.62	0.33	8.85e-7	1.104e-4	(A) Black or African American
PCMT1	6q25.1	10.31	10.04	0.47	0.50	0.28	9.04e-7	1.119e-4	(A) Black or African American
FAM86C1	11q13.4	7.79	8.08	0.49	0.54	-0.29	9.33e-7	1.147e-4	(B) White
LAMTOR5	1p13.3	10.59	10.24	0.63	0.48	0.34	1.004e-6	1.223e-4	(A) Black or African American
SCAMP4	19p13.3	11.02	11.40	0.67	0.62	-0.38	1.010e-6	1.223e-4	(B) White
SKP1	5q31.1	12.20	11.97	0.40	0.42	0.23	1.016e-6	1.223e-4	(A) Black or African American
HTR3E	3q27.1	0.65	1.31	1.02	1.58	-0.66	1.035e-6	1.237e-4	(B) White
HMGB1P1	20q13.31	7.46	7.92	0.84	0.68	-0.46	1.054e-6	1.252e-4	(B) White
CBWD1	9p24.3	9.62	9.26	0.63	0.60	0.36	1.082e-6	1.276e-4	(A) Black or African American
LRRIQ1	12q21.31	5.22	3.99	2.10	2.29	1.23	1.112e-6	1.302e-4	(A) Black or African American
ZZEF1	17p13.2	9.51	9.85	0.60	0.53	-0.34	1.129e-6	1.314e-4	(B) White
SNORA59B	17p11.2	0.70	1.22	0.88	1.04	-0.52	1.158e-6	1.330e-4	(B) White
MSANTD1	4p16.3	3.19	2.54	1.14	1.10	0.65	1.158e-6	1.330e-4	(A) Black or African American
RAB6D	2q21.1	5.51	6.16	1.17	0.96	-0.65	1.193e-6	1.361e-4	(B) White
RIMS4	20q13.12	7.05	5.85	2.03	2.43	1.20	1.306e-6	1.481e-4	(A) Black or African American
DNAJC19	3q26.33	9.30	8.99	0.53	0.58	0.30	1.342e-6	1.512e-4	(A) Black or African American
LOC100272216		2.60	3.39	1.42	1.25	-0.79	1.367e-6	1.528e-4	(B) White
TOM1L2	17p11.2	9.17	9.58	0.76	0.62	-0.42	1.374e-6	1.528e-4	(B) White
MAGOH	1p32.3	9.65	9.32	0.57	0.59	0.33	1.409e-6	1.538e-4	(A) Black or African American
OSER1	20q13.12	9.50	9.23	0.47	0.52	0.27	1.409e-6	1.538e-4	(A) Black or African American
FAM136BP	6p25.2	0.41	0.86	0.74	1.00	-0.45	1.410e-6	1.538e-4	(B) White
RUVBL1	3q21.3	10.88	10.51	0.66	0.64	0.37	1.433e-6	1.554e-4	(A) Black or African American
SLC25A3	12q23.1	12.83	12.58	0.44	0.46	0.25	1.542e-6	1.661e-4	(A) Black or African American
ZNF622	5p15.1	9.30	8.95	0.64	0.51	0.35	1.564e-6	1.674e-4	(A) Black or African American
CPOX	3q11.2	8.77	8.51	0.43	0.58	0.26	1.573e-6	1.674e-4	(A) Black or African American
TRIT1	1p34.2	9.22	8.93	0.48	0.58	0.28	1.584e-6	1.676e-4	(A) Black or African American
AMH	19p13.3	3.51	4.88	2.48	2.19	-1.37	1.628e-6	1.713e-4	(B) White
RBM8A	1q21.1	11.24	10.91	0.59	0.57	0.33	1.645e-6	1.716e-4	(A) Black or African American
MAPK7	17p11.2	8.73	9.08	0.64	0.54	-0.35	1.652e-6	1.716e-4	(B) White
SNRPD1	18q11.2	10.41	10.05	0.64	0.62	0.36	1.723e-6	1.780e-4	(A) Black or African American
IL9R	Xq28 and Yq12	1.94	2.68	1.33	1.28	-0.74	1.784e-6	1.832e-4	(B) White
TTC4	1p32.3	9.28	9.05	0.42	0.36	0.23	1.815e-6	1.853e-4	(A) Black or African American
UPF3A	13q34	9.73	9.42	0.56	0.54	0.31	1.847e-6	1.875e-4	(A) Black or African American
CES2	16q22.1	9.72	10.03	0.56	0.58	-0.31	1.887e-6	1.904e-4	(B) White
SCMH1	1p34.2	9.74	10.04	0.54	0.54	-0.30	1.944e-6	1.936e-4	(B) White
CHMP5	9p13.3	10.39	10.08	0.55	0.55	0.31	1.945e-6	1.936e-4	(A) Black or African American
CDV3	3q22.1	11.55	11.26	0.51	0.60	0.29	1.952e-6	1.936e-4	(A) Black or African American
NUP188	9q34.11	10.54	10.80	0.46	0.53	-0.27	2.018e-6	1.987e-4	(B) White
POM121C	7q11.23	9.71	9.99	0.51	0.46	-0.28	2.026e-6	1.987e-4	(B) White
AIF1L	9q34.12-q34.13	10.40	9.80	1.10	0.99	0.60	2.037e-6	1.987e-4	(A) Black or African American
AQR	15q14	9.53	9.90	0.70	0.50	-0.37	2.068e-6	2.005e-4	(B) White
FOXD4L3	9q21.11	1.21	1.87	1.18	1.21	-0.66	2.085e-6	2.011e-4	(B) White
PF4	4q13.3	0.88	1.49	1.03	1.37	-0.61	2.146e-6	2.044e-4	(B) White
NAIP	5q13.2	5.02	5.66	1.17	1.08	-0.64	2.149e-6	2.044e-4	(B) White
EMILIN2	18p11.32-p11.31	9.31	8.74	1.02	1.04	0.57	2.165e-6	2.044e-4	(A) Black or African American
PRKY	Yp11.2	2.65	3.48	1.49	1.52	-0.83	2.169e-6	2.044e-4	(B) White
CCL3L1	17q21.1	4.41	3.51	1.63	1.59	0.90	2.178e-6	2.044e-4	(A) Black or African American
MRPL51	12p13.31	11.14	10.78	0.67	0.60	0.36	2.197e-6	2.051e-4	(A) Black or African American
ABL1	9q34.12	10.94	11.28	0.63	0.56	-0.34	2.272e-6	2.109e-4	(B) White
FAM157B	9q34.3	1.63	2.31	1.19	1.34	-0.68	2.338e-6	2.159e-4	(B) White
GSTM2	1p13.3	9.40	8.40	1.78	1.93	1.00	2.405e-6	2.209e-4	(A) Black or African American
PRPF38A	1p32.3	10.14	9.94	0.38	0.37	0.21	2.505e-6	2.289e-4	(A) Black or African American
ZNF786	7q36.1	7.65	7.93	0.50	0.52	-0.28	2.603e-6	2.357e-4	(B) White
POM121L1P	22q11.22	1.35	1.90	0.95	1.13	-0.54	2.614e-6	2.357e-4	(B) White
SIRT5	6p23	8.97	8.67	0.57	0.53	0.31	2.619e-6	2.357e-4	(A) Black or African American
GAS5	1q25.1	11.79	11.28	0.91	1.03	0.52	2.652e-6	2.374e-4	(A) Black or African American
TMED9	5q35.3	12.47	12.15	0.60	0.49	0.32	2.735e-6	2.436e-4	(A) Black or African American
PANK2	20p13	8.92	8.65	0.48	0.51	0.27	2.785e-6	2.468e-4	(A) Black or African American
KDM6B	17p13.1	10.20	10.57	0.70	0.57	-0.37	2.912e-6	2.562e-4	(B) White
SLC7A9	19q13.11	3.48	2.63	1.60	1.33	0.85	2.921e-6	2.562e-4	(A) Black or African American
RWDD2A	6q14.1	7.22	6.95	0.48	0.55	0.27	2.939e-6	2.566e-4	(A) Black or African American
RNF146	6q22.33	9.33	9.07	0.47	0.46	0.25	3.008e-6	2.612e-4	(A) Black or African American
TARDBP	1p36.22	11.89	11.72	0.31	0.30	0.17	3.063e-6	2.647e-4	(A) Black or African American
RCCD1	15q26.1	8.49	8.15	0.63	0.60	0.34	3.325e-6	2.859e-4	(A) Black or African American
MLF1	3q25.32	8.70	7.47	2.19	2.50	1.23	3.373e-6	2.886e-4	(A) Black or African American
SAP30L	5q33.2	9.27	9.04	0.44	0.40	0.23	3.476e-6	2.951e-4	(A) Black or African American
RSU1	10p13	10.11	10.44	0.62	0.58	-0.34	3.482e-6	2.951e-4	(B) White
EID2B	19q13.2	5.77	5.25	1.00	0.83	0.53	3.802e-6	3.207e-4	(A) Black or African American
CREG1	1q24.2	11.33	10.96	0.67	0.76	0.37	3.891e-6	3.266e-4	(A) Black or African American
WDR70	5p13.2	9.08	8.78	0.55	0.52	0.30	3.934e-6	3.275e-4	(A) Black or African American
HNRNPDL	4q21.22	11.93	11.72	0.38	0.40	0.21	3.949e-6	3.275e-4	(A) Black or African American
DDX50	10q22.1	9.80	9.59	0.39	0.43	0.22	3.959e-6	3.275e-4	(A) Black or African American
FLJ42627	16p13.3	5.64	6.19	1.02	0.96	-0.55	4.027e-6	3.310e-4	(B) White
UTP18	17q21.33	9.43	9.16	0.49	0.58	0.28	4.038e-6	3.310e-4	(A) Black or African American
DDX51	12q24.33	9.47	9.19	0.54	0.47	0.29	4.060e-6	3.312e-4	(A) Black or African American
CYP20A1	2q33.2	9.02	9.30	0.53	0.45	-0.28	4.129e-6	3.352e-4	(B) White
MAPKAPK5-AS1	12q24.12	8.64	8.35	0.55	0.48	0.29	4.256e-6	3.440e-4	(A) Black or African American
LLPH	12q14.3	9.37	9.12	0.46	0.51	0.25	4.305e-6	3.450e-4	(A) Black or African American
SLC6A15	12q21.31	2.87	1.29	3.09	2.23	1.58	4.308e-6	3.450e-4	(A) Black or African American
STAB2	12q23.3	0.66	1.11	0.77	1.04	-0.45	4.378e-6	3.490e-4	(B) White
FGD6	12q22	8.18	8.77	1.12	0.89	-0.58	4.506e-6	3.564e-4	(B) White
TNS2	12q13.13	9.36	9.81	0.85	0.77	-0.45	4.519e-6	3.564e-4	(B) White
APLF	2p13.3	6.33	5.94	0.65	0.97	0.39	4.532e-6	3.564e-4	(A) Black or African American
USB1	16q21	10.09	10.40	0.61	0.49	-0.32	4.690e-6	3.656e-4	(B) White
VPS53	17p13.3	9.76	10.01	0.48	0.46	-0.26	4.707e-6	3.656e-4	(B) White
TMEM155	4q27	2.12	1.36	1.44	1.33	0.76	4.712e-6	3.656e-4	(A) Black or African American
RWDD3	1p21.3	8.25	7.98	0.50	0.56	0.27	5.065e-6	3.907e-4	(A) Black or African American
AP1S3	2q36.1	7.84	8.36	0.96	1.06	-0.52	5.081e-6	3.907e-4	(B) White
C11ORF65	11q22.3	2.79	2.29	0.94	0.93	0.50	5.364e-6	4.107e-4	(A) Black or African American
SUMO1P3	1q23.2	7.94	7.69	0.45	0.55	0.25	5.487e-6	4.176e-4	(A) Black or African American
SLC9A1	1p36.11	10.21	10.53	0.59	0.61	-0.32	5.503e-6	4.176e-4	(B) White
LINC00265	7p14.1	7.39	7.99	1.18	0.93	-0.60	5.569e-6	4.180e-4	(B) White
ZNF192P1	6p22.1	3.41	2.54	1.68	1.44	0.87	5.572e-6	4.180e-4	(A) Black or African American
PRAG1	8p23.1	8.35	8.97	1.20	1.01	-0.62	5.579e-6	4.180e-4	(B) White
RPL39	Xq24	9.71	9.17	1.04	0.89	0.54	5.796e-6	4.324e-4	(A) Black or African American
KDM7A	7q34	9.33	9.89	1.09	0.91	-0.56	5.927e-6	4.403e-4	(B) White
SMUG1	12q13.13	9.76	9.44	0.62	0.51	0.32	6.045e-6	4.471e-4	(A) Black or African American
GTF2F1	19p13.3	10.96	11.19	0.43	0.47	-0.23	6.331e-6	4.663e-4	(B) White
PAIP2	5q31.2	10.65	10.42	0.43	0.44	0.23	6.427e-6	4.714e-4	(A) Black or African American
ING4	12p13.31	9.61	9.28	0.63	0.56	0.33	6.533e-6	4.772e-4	(A) Black or African American
ATP5PF	21q21.3	10.92	10.63	0.51	0.65	0.28	6.868e-6	4.995e-4	(A) Black or African American
LINC01001	11p15.5	6.29	6.96	1.30	1.13	-0.67	6.975e-6	5.052e-4	(B) White
RANBP3	19p13.3	10.38	10.58	0.39	0.38	-0.20	7.049e-6	5.085e-4	(B) White
CEACAM3	19q13.2	1.25	0.53	1.45	0.95	0.71	7.262e-6	5.217e-4	(A) Black or African American
ASH1L-AS1	1q22	5.53	5.14	0.75	0.72	0.39	7.333e-6	5.246e-4	(A) Black or African American
AFG3L2	18p11.21	10.46	10.12	0.64	0.65	0.34	7.560e-6	5.378e-4	(A) Black or African American
MOB3A	19p13.3	9.95	10.24	0.55	0.50	-0.28	7.588e-6	5.378e-4	(B) White
FUT5	19p13.3	1.68	0.82	1.73	1.19	0.86	7.609e-6	5.378e-4	(A) Black or African American
NADK2	5p13.2	9.27	8.99	0.52	0.61	0.28	7.690e-6	5.406e-4	(A) Black or African American
RFC4	3q27.3	9.24	8.80	0.83	0.82	0.43	7.729e-6	5.406e-4	(A) Black or African American
RAB28	4p15.33	8.44	8.17	0.49	0.57	0.27	7.747e-6	5.406e-4	(A) Black or African American
FAM218A	4q32.3	3.59	2.59	1.95	1.79	1.00	7.773e-6	5.406e-4	(A) Black or African American
NPIPB13	16p11.2	4.28	5.35	2.10	1.74	-1.06	7.955e-6	5.511e-4	(B) White
CCN4	8q24.22	4.91	5.69	1.51	1.42	-0.78	8.074e-6	5.547e-4	(B) White
TICAM1	19p13.3	8.98	9.32	0.65	0.64	-0.34	8.081e-6	5.547e-4	(B) White
AKAP8L	19p13.12	10.54	10.19	0.68	0.68	0.36	8.102e-6	5.547e-4	(A) Black or African American
PARL	3q27.1	10.10	9.75	0.69	0.58	0.35	8.183e-6	5.559e-4	(A) Black or African American
RCN2	15q24.3	11.12	10.69	0.82	0.85	0.43	8.199e-6	5.559e-4	(A) Black or African American
