Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
EIF4G1	3q27.1	0.02	-0.15	0.56	0.50	0.17	0.0161	0.0517	(A) Black or African American
CCNB1	5q13.2	1.45	1.14	1.03	0.93	0.31	0.0161	0.0517	(A) Black or African American
TIGAR	12p13.32	0.58	0.68	0.34	0.28	-0.10	0.0174	0.0550	(B) White
ASNS	7q21.3	-0.40	-0.60	0.66	0.63	0.20	0.0179	0.0557	(A) Black or African American
TSC1	9q34.13	1.63	1.52	0.37	0.30	0.11	0.0192	0.0587	(A) Black or African American
MYH9_PS1943	10q11.22	-1.04	-0.91	0.48	0.35	-0.13	0.0232	0.0699	(B) White
CDH1	16q22.1	1.08	1.32	0.84	0.79	-0.24	0.0250	0.0742	(B) White
NF2	22q12.2	1.15	1.27	0.46	0.34	-0.13	0.0255	0.0747	(B) White
TP53	17p13.1	-1.30	-1.50	0.69	0.72	0.20	0.0273	0.0787	(A) Black or African American
GSK3A_PS21_S9	5q21-q22	1.06	1.27	0.73	0.71	-0.20	0.0284	0.0797	(B) White
GSK3B_PS21_S9	5q21-q22	1.06	1.27	0.73	0.71	-0.20	0.0284	0.0797	(B) White
RAB11A	15q22.31	-0.63	-0.56	0.25	0.24	-0.07	0.0301	0.0819	(B) White
RAB11B	19p13.2	-0.63	-0.56	0.25	0.24	-0.07	0.0301	0.0819	(B) White
NRG1	8p12	-1.39	-1.46	0.26	0.22	0.07	0.0304	0.0819	(A) Black or African American
COL6A1	21q22.3	0.06	0.16	0.36	0.36	-0.10	0.0362	0.0963	(B) White
YAP1_PS127	20q12-q13	1.91	2.08	0.67	0.54	-0.17	0.0389	0.102	(B) White
MYC	8q24.21	0.33	0.44	0.45	0.44	-0.12	0.0422	0.109	(B) White
LCK	1p35.2	0.40	0.31	0.37	0.34	0.09	0.0600	0.153	(A) Black or African American
SMAD3	15q22.33	0.77	0.84	0.30	0.26	-0.07	0.0608	0.154	(B) White
DIRAS3	1p31.3	-2.92	-2.86	0.26	0.28	-0.06	0.0646	0.161	(B) White
ANXA1	9q21.13	0.18	0.39	0.87	0.95	-0.21	0.0692	0.167	(B) White
RAB25	1q22	-1.52	-1.38	0.62	0.56	-0.14	0.0699	0.167	(B) White
CASP7	10q25.3	0.36	0.09	1.19	0.97	0.27	0.0709	0.167	(A) Black or African American
MAPK1_PT202_Y204	5q21-q22	-0.54	-0.38	0.68	0.84	-0.17	0.0710	0.167	(B) White
MAPK3_PT202_Y204	5q21-q22	-0.54	-0.38	0.68	0.84	-0.17	0.0710	0.167	(B) White
MAP2K1	15q22.31	0.06	-0.07	0.56	0.63	0.13	0.0837	0.194	(A) Black or African American
STK11	19p13.3	0.39	0.34	0.25	0.21	0.05	0.0850	0.195	(A) Black or African American
YBX1	1p34.2	-0.67	-0.61	0.25	0.27	-0.06	0.0907	0.206	(B) White
INPP4B	4q31.21	-1.13	-1.01	0.55	0.59	-0.12	0.0954	0.214	(B) White
STAT5A	17q21.2	1.35	1.18	0.79	0.63	0.16	0.101	0.224	(A) Black or African American
MAPK1	22q11.22	0.96	1.03	0.38	0.33	-0.07	0.114	0.250	(B) White
NFKB1_PS536	16p11.2	-0.14	-0.30	0.80	0.78	0.16	0.121	0.263	(A) Black or African American
RPS6	9p22.1	0.85	0.75	0.55	0.43	0.10	0.128	0.274	(A) Black or African American
TUBA1B	12q13.12	2.37	2.55	0.93	0.91	-0.18	0.129	0.274	(B) White
SCD	10q24.31	-1.62	-1.67	0.26	0.22	0.05	0.133	0.280	(A) Black or African American
SQSTM1	5q35.3	0.20	0.07	0.73	0.51	0.13	0.141	0.291	(A) Black or African American
CHEK1_PS345	5p12	-0.33	-0.29	0.23	0.23	-0.04	0.142	0.291	(B) White
GAB2	11q14.1	0.79	0.67	0.68	0.58	0.12	0.143	0.291	(A) Black or African American
BRAF	7q34	1.27	1.15	0.63	0.62	0.12	0.147	0.297	(A) Black or African American
MAPK14	6p21.31	0.04	-0.02	0.32	0.29	0.06	0.151	0.302	(A) Black or African American
RICTOR_PT1135	2q31.1	0.18	0.14	0.27	0.16	0.05	0.157	0.312	(A) Black or African American
IGFBP2	2q35	1.63	1.44	1.02	1.15	0.19	0.160	0.314	(A) Black or African American
CAV1	7q31.2	1.23	1.41	1.04	1.07	-0.18	0.173	0.335	(B) White
PDK1	2q31.1	-0.77	-0.73	0.25	0.22	-0.04	0.175	0.335	(B) White
SERPINE1	7q22.1	-2.71	-2.81	0.56	0.57	0.10	0.176	0.335	(A) Black or African American
SRC_PY416	9p21	-0.33	-0.25	0.50	0.42	-0.08	0.191	0.361	(B) White
CCNE2	8q22.1	1.25	1.31	0.38	0.31	-0.06	0.200	0.373	(B) White
BAD_PS112	19q13.1-q13.2	0.14	0.19	0.33	0.29	-0.05	0.206	0.381	(B) White
ESR1	6q25.1-q25.2	1.49	1.75	1.65	1.33	-0.26	0.209	0.383	(B) White
RPS6KB1	17q23.1	0.47	0.42	0.38	0.31	0.06	0.213	0.388	(A) Black or African American
KIT	4q12	-0.24	-0.30	0.41	0.45	0.07	0.216	0.389	(A) Black or African American
BCL2L1	20q11.21	-0.12	-0.17	0.27	0.26	0.04	0.219	0.389	(A) Black or African American
RPS6KA1	1p36.11	-0.21	-0.26	0.35	0.33	0.05	0.222	0.389	(A) Black or African American
PECAM1	17q23.3	-1.35	-1.39	0.24	0.25	0.04	0.223	0.389	(A) Black or African American
SRC_PY527	9p21	-1.00	-0.88	0.75	0.75	-0.12	0.224	0.389	(B) White
ARAF_PS299	12q24.11	-1.40	-1.36	0.22	0.23	-0.03	0.230	0.398	(B) White
CDH2	18q12.1	-0.17	-0.24	0.45	0.35	0.07	0.233	0.399	(A) Black or African American
MET_PY1235	11q13	0.45	0.42	0.16	0.16	0.02	0.238	0.404	(A) Black or African American
HSPA1A	6p21.33	0.46	0.36	0.70	0.65	0.10	0.251	0.422	(A) Black or African American
SMAD1	4q31.21	0.46	0.40	0.43	0.26	0.06	0.261	0.436	(A) Black or African American
PXN	12q24.23	0.18	0.24	0.44	0.43	-0.06	0.279	0.462	(B) White
PRKCB_PS660	5q21-q22	1.02	1.09	0.56	0.45	-0.07	0.291	0.478	(B) White
CHEK2	22q12.1	0.00	0.06	0.45	0.41	-0.06	0.298	0.486	(B) White
MSH6	2p16.3	0.41	0.33	0.61	0.56	0.08	0.301	0.486	(A) Black or African American
XRCC1	19q13.31	-0.05	-0.01	0.34	0.26	-0.04	0.312	0.500	(B) White
ESR1_PS118	11q24.2	0.58	0.67	0.68	0.63	-0.09	0.315	0.501	(B) White
ERBB2	17q12	0.58	0.66	0.61	0.80	-0.08	0.334	0.527	(B) White
FN1	2q35	-0.31	-0.25	0.57	0.55	-0.07	0.338	0.529	(B) White
TSC2	16p13.3	1.22	1.16	0.50	0.44	0.06	0.344	0.532	(A) Black or African American
EGFR_PY1173	3p25	0.43	0.41	0.14	0.16	0.02	0.345	0.532	(A) Black or African American
RBM15	1p13.3	2.30	2.37	0.63	0.51	-0.07	0.390	0.593	(B) White
CDK1	10q21.2	0.21	0.18	0.24	0.26	0.03	0.391	0.593	(A) Black or African American
RPS6_PS235_S236	5q21-q22	-0.86	-0.78	0.78	0.72	-0.08	0.393	0.593	(B) White
RB1_PS807_S811	5q21-q22	-0.08	-0.01	0.67	0.64	-0.07	0.403	0.598	(B) White
TP53BP1	15q15.3	2.12	2.18	0.55	0.58	-0.06	0.403	0.598	(B) White
MAP2K1_PS217_S221	5q21-q22	-0.54	-0.49	0.39	0.51	-0.04	0.409	0.603	(B) White
RAF1	3p25.2	0.98	0.96	0.25	0.25	0.03	0.419	0.613	(A) Black or African American
VHL	3p25.3	0.45	0.59	1.42	1.12	-0.14	0.430	0.626	(B) White
WWTR1	3q25.1	0.23	0.20	0.27	0.26	0.03	0.434	0.626	(A) Black or African American
CDKN1B	12p13.1	0.06	0.02	0.39	0.36	0.04	0.446	0.639	(A) Black or African American
ERBB2_PY1248	6q25.1	-0.31	-0.35	0.30	0.50	0.03	0.456	0.648	(A) Black or African American
MAPK8_PT183_Y185		-0.51	-0.54	0.29	0.29	0.03	0.459	0.648	(A) Black or African American
TFRC	3q29	1.85	1.94	1.06	0.90	-0.09	0.483	0.676	(B) White
ANXA7	10q22.2	-0.81	-0.83	0.26	0.24	0.02	0.485	0.676	(A) Black or African American
PCNA	20p12.3	-0.95	-0.99	0.37	0.41	0.03	0.502	0.695	(A) Black or African American
STAT3_PY705	19q13.33	0.04	0.07	0.44	0.45	-0.04	0.519	0.700	(B) White
YWHAB	20q13.12	-0.63	-0.64	0.17	0.21	0.01	0.520	0.700	(A) Black or African American
SRSF1	17q22	-1.54	-1.56	0.20	0.22	0.02	0.524	0.700	(A) Black or African American
PRKCA_PS657	4q24	-0.73	-0.78	0.69	0.68	0.06	0.525	0.700	(A) Black or African American
PARK7	1p36.23	0.72	0.70	0.30	0.30	0.02	0.526	0.700	(A) Black or African American
CDKN1B_PT198	Xp11.4-p11.2	-0.01	-0.03	0.16	0.20	0.01	0.532	0.700	(A) Black or African American
PDK1_PS241	15q22.1-q22.33	0.36	0.39	0.33	0.33	-0.03	0.533	0.700	(B) White
SRC	20q11.23	-0.66	-0.69	0.38	0.37	0.03	0.534	0.700	(A) Black or African American
YAP1	11q22.1	0.38	0.36	0.29	0.27	0.02	0.537	0.700	(A) Black or African American
AKT1	14q32.33	0.82	0.85	0.45	0.37	-0.03	0.561	0.717	(B) White
AKT2	19q13.2	0.82	0.85	0.45	0.37	-0.03	0.561	0.717	(B) White
AKT3	1q43-q44	0.82	0.85	0.45	0.37	-0.03	0.561	0.717	(B) White
BAK1	6p21.31	1.07	1.11	0.41	0.44	-0.03	0.567	0.719	(B) White
G6PD	Xq28	-1.20	-1.24	0.51	0.53	0.04	0.569	0.719	(A) Black or African American
NDRG1_PT346	22q11.21	-1.01	-0.95	0.82	0.85	-0.06	0.586	0.735	(B) White
CHEK1	11q24.2	-0.43	-0.41	0.28	0.30	-0.02	0.593	0.735	(B) White
ACACA_PS79	3q13.3	0.11	0.06	0.67	0.56	0.04	0.596	0.735	(A) Black or African American
ACACB_PS79	8p11.1	0.11	0.06	0.67	0.56	0.04	0.596	0.735	(A) Black or African American
YBX1_PS102	20q12-q13	-0.02	0.00	0.31	0.29	-0.02	0.609	0.746	(B) White
CCND1	11q13.3	-0.04	-0.02	0.21	0.30	-0.01	0.632	0.769	(B) White
DVL3	3q27.1	0.69	0.67	0.36	0.30	0.02	0.645	0.775	(A) Black or African American
EGFR_PY1068	7q31	-1.93	-1.95	0.39	0.42	0.02	0.645	0.775	(A) Black or African American
MTOR	1p36.22	1.17	1.15	0.36	0.25	0.02	0.648	0.775	(A) Black or African American
AKT1S1_PT246	17q23.1	0.22	0.23	0.25	0.27	-0.01	0.654	0.777	(B) White
ITGA2	5q11.2	-0.80	-0.77	0.44	0.49	-0.03	0.664	0.785	(B) White
BCL2	18q21.33	-0.65	-0.69	0.71	0.58	0.04	0.673	0.785	(A) Black or African American
GSK3A	19q13.2	0.78	0.76	0.29	0.24	0.01	0.676	0.785	(A) Black or African American
GSK3B	3q13.33	0.78	0.76	0.29	0.24	0.01	0.676	0.785	(A) Black or African American
RICTOR	5p13.1	0.46	0.41	1.08	0.99	0.05	0.698	0.805	(A) Black or African American
BAX	19q13.33	1.40	1.37	0.45	0.40	0.02	0.701	0.805	(A) Black or African American
PTEN	10q23.31	0.01	0.04	0.68	0.71	-0.03	0.727	0.830	(B) White
YWHAZ	8q22.3	1.20	1.19	0.37	0.37	0.02	0.733	0.832	(A) Black or African American
EEF2K	16p12.2	0.00	-0.02	0.62	0.59	0.03	0.740	0.833	(A) Black or African American
PRKAA1_PT172	19q13.1-q13.2	2.22	2.25	0.72	0.71	-0.03	0.742	0.833	(B) White
MAPK9	5q35.3	0.34	0.32	0.37	0.33	0.01	0.756	0.844	(A) Black or African American
DIABLO	12q24.31	0.53	0.55	0.55	0.46	-0.02	0.786	0.872	(B) White
PIK3R1	5q13.1	1.37	1.36	0.40	0.37	0.01	0.797	0.875	(A) Black or African American
PIK3R2	19p13.11	1.37	1.36	0.40	0.37	0.01	0.797	0.875	(A) Black or African American
KDR	4q12	1.30	1.32	0.48	0.49	-0.02	0.804	0.877	(B) White
SMAD4	18q21.2	-1.01	-1.01	0.25	0.22	0.01	0.843	0.913	(A) Black or African American
ATM	11q22.3	1.85	1.83	0.73	0.80	0.02	0.845	0.913	(A) Black or African American
CDH3	16q22.1	-1.32	-1.31	0.19	0.27	-0.00	0.856	0.915	(B) White
ACVRL1	12q13.13	-0.61	-0.61	0.24	0.26	-0.01	0.857	0.915	(B) White
SHC1_PY317	13q14.2	-2.27	-2.27	0.22	0.30	-0.01	0.867	0.920	(B) White
XRCC5	2q35	1.81	1.80	0.40	0.40	0.01	0.875	0.920	(A) Black or African American
EGFR	7p11.2	-0.03	-0.03	0.25	0.26	-0.01	0.876	0.920	(B) White
YWHAE	17p13.3	-0.82	-0.83	0.21	0.20	0.00	0.879	0.920	(A) Black or African American
PRKCA	17q24.2	-0.56	-0.55	0.73	0.70	-0.01	0.888	0.924	(B) White
EIF4EBP1_PT37	8p12	0.65	0.66	0.66	0.59	-0.01	0.916	0.948	(B) White
CLDN7	17p13.1	1.70	1.69	0.96	0.80	0.01	0.925	0.953	(A) Black or African American
PRDX1	1p34.1	-1.65	-1.65	0.41	0.36	-0.00	0.929	0.953	(B) White
MTOR_PS2448	8p11.1	-0.69	-0.68	0.28	0.25	-0.00	0.939	0.958	(B) White
AR	Xq12	0.15	0.15	0.66	0.65	-0.00	0.958	0.966	(B) White
BAP1	3p21.1	-0.89	-0.89	0.45	0.35	0.00	0.961	0.966	(A) Black or African American
FOXO3_PS318_S321	5q21-q22	-1.45	-1.45	0.23	0.21	0.00	0.961	0.966	(A) Black or African American
PGR	11q22.1	-0.42	-0.41	0.43	0.46	-0.00	0.983	0.983	(B) White
