Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CCNL2	1p36.33	11.10	10.58	0.77	0.77	0.51	8.190e-6	1.029e-3	(A) Black or African American
SDHAP3	5p15.33	6.67	6.28	0.59	0.52	0.39	8.304e-6	1.035e-3	(A) Black or African American
MFSD4B	6q21	6.73	6.44	0.43	0.48	0.29	8.579e-6	1.062e-3	(A) Black or African American
TMEM151B	6p21.1	4.09	3.44	0.97	1.02	0.65	8.648e-6	1.063e-3	(A) Black or African American
ATAD2B	2p24.1-p23.3	8.41	8.15	0.38	0.49	0.26	8.816e-6	1.076e-3	(A) Black or African American
NFKBID	19q13.12	5.63	5.13	0.73	0.85	0.50	8.935e-6	1.083e-3	(A) Black or African American
TAS2R20	12p13.2	4.20	3.71	0.73	0.80	0.49	9.066e-6	1.092e-3	(A) Black or African American
PRR4	12p13.2	4.93	4.53	0.53	0.88	0.40	9.569e-6	1.144e-3	(A) Black or African American
SPACA4	19q13.33	4.33	3.65	1.01	1.02	0.67	9.818e-6	1.166e-3	(A) Black or African American
RUSC1-AS1	1q22	6.72	6.09	0.95	0.92	0.63	1.004e-5	1.177e-3	(A) Black or African American
OCLM	1q31.1	2.08	1.52	0.86	0.75	0.56	1.013e-5	1.177e-3	(A) Black or African American
RAD52	12p13.33	7.25	6.95	0.44	0.59	0.31	1.017e-5	1.177e-3	(A) Black or African American
AGAP4	10q11.22	7.91	7.44	0.70	0.76	0.47	1.018e-5	1.177e-3	(A) Black or African American
DDX12P	12p13.31	7.49	6.95	0.83	0.83	0.55	1.037e-5	1.191e-3	(A) Black or African American
BMS1P4	10q22.2	4.89	4.38	0.75	0.91	0.51	1.076e-5	1.227e-3	(A) Black or African American
PRH1	12p13.2	5.21	4.66	0.86	0.67	0.55	1.106e-5	1.253e-3	(A) Black or African American
TAS2R5	7q34	3.58	2.93	1.01	0.88	0.65	1.128e-5	1.270e-3	(A) Black or African American
MSH5	6p21.33	8.91	8.33	0.89	0.83	0.58	1.183e-5	1.317e-3	(A) Black or African American
ARSE	Xp22.33	7.88	10.01	3.42	1.45	-2.12	1.184e-5	1.317e-3	(B) White
PI4KAP1	22q11.21	8.41	7.90	0.77	0.84	0.51	1.206e-5	1.328e-3	(A) Black or African American
PSMB10	16q22.1	10.59	10.97	0.57	0.69	-0.38	1.220e-5	1.328e-3	(B) White
LINC00685	Xp22.33 and Yp11.31	3.82	3.11	1.10	1.01	0.71	1.224e-5	1.328e-3	(A) Black or African American
MIR600HG	9q33.3	6.78	6.09	1.05	1.01	0.69	1.234e-5	1.328e-3	(A) Black or African American
PAN2	12q13.3	9.62	9.23	0.59	0.62	0.39	1.239e-5	1.328e-3	(A) Black or African American
ZNF90	19p12	7.55	6.93	0.91	1.09	0.61	1.240e-5	1.328e-3	(A) Black or African American
SLC7A5P2	16p12.2	2.98	2.35	0.95	1.00	0.63	1.266e-5	1.347e-3	(A) Black or African American
SPATA32	17q21.31	2.10	1.66	0.66	0.79	0.44	1.291e-5	1.360e-3	(A) Black or African American
ASH1L-AS1	1q22	5.40	5.01	0.60	0.66	0.40	1.293e-5	1.360e-3	(A) Black or African American
SCARNA12	12p13.31	3.28	2.77	0.77	0.89	0.51	1.342e-5	1.403e-3	(A) Black or African American
CCDC78	16p13.3	5.92	4.86	1.65	1.51	1.06	1.377e-5	1.431e-3	(A) Black or African American
SNX29P2	16p11.2	4.73	4.11	0.97	0.90	0.63	1.408e-5	1.451e-3	(A) Black or African American
LUZP2	11p14.3	3.56	2.65	1.36	1.53	0.90	1.416e-5	1.451e-3	(A) Black or African American
HNRNPU-AS1		9.31	8.74	0.87	0.89	0.57	1.421e-5	1.451e-3	(A) Black or African American
LOC541473	7q11.23	2.75	2.12	0.97	0.93	0.63	1.448e-5	1.459e-3	(A) Black or African American
SEC61A2	10p14	6.77	6.43	0.53	0.54	0.35	1.450e-5	1.459e-3	(A) Black or African American
DDX51	12q24.33	9.42	9.11	0.48	0.52	0.31	1.454e-5	1.459e-3	(A) Black or African American
LTB4R2	14q12	5.88	5.26	0.97	0.83	0.62	1.472e-5	1.468e-3	(A) Black or African American
APBB3	5q31.3	7.66	7.14	0.82	0.74	0.52	1.502e-5	1.489e-3	(A) Black or African American
LRP5L	22q11.23	7.08	6.57	0.78	0.84	0.51	1.527e-5	1.506e-3	(A) Black or African American
LOC100132215	2p15	3.49	3.00	0.74	0.81	0.49	1.538e-5	1.508e-3	(A) Black or African American
QRICH2	17q25.1	5.66	4.94	1.13	1.00	0.72	1.569e-5	1.530e-3	(A) Black or African American
TTC12	11q23.2	8.13	7.76	0.59	0.55	0.38	1.588e-5	1.540e-3	(A) Black or African American
TAS2R19	12p13.2	1.10	0.69	0.64	0.63	0.41	1.648e-5	1.589e-3	(A) Black or African American
RAMAC	15q25.2	8.06	8.37	0.49	0.47	-0.31	1.659e-5	1.591e-3	(B) White
IBSP	4q22.1	2.26	3.48	1.85	2.19	-1.22	1.734e-5	1.654e-3	(B) White
TMEM86B	19q13.42	6.22	5.74	0.73	0.84	0.48	1.744e-5	1.655e-3	(A) Black or African American
PSMD7	16q23.1	11.23	11.41	0.28	0.35	-0.18	1.787e-5	1.686e-3	(B) White
FLVCR1-DT	1q32.3	3.82	4.71	1.40	1.34	-0.89	1.863e-5	1.748e-3	(B) White
SUGP2	19p13.11	10.39	10.04	0.56	0.50	0.35	1.894e-5	1.768e-3	(A) Black or African American
LUC7L	16p13.3	9.56	9.16	0.62	0.60	0.40	1.928e-5	1.791e-3	(A) Black or African American
SNORD1C	17q25.1	5.33	4.77	0.88	0.82	0.56	1.947e-5	1.799e-3	(A) Black or African American
CXCL10	4q21.1	6.85	8.01	1.80	1.93	-1.16	1.983e-5	1.822e-3	(B) White
LINC00115	1p36.33	5.19	4.73	0.72	0.73	0.46	1.997e-5	1.823e-3	(A) Black or African American
ZBTB43	9q33.3	8.47	8.19	0.43	0.49	0.28	2.015e-5	1.823e-3	(A) Black or African American
ANKRD13D	11q13.2	8.99	8.68	0.47	0.51	0.30	2.019e-5	1.823e-3	(A) Black or African American
MDM4	1q32.1	9.44	9.06	0.58	0.59	0.37	2.026e-5	1.823e-3	(A) Black or African American
DNAH1	3p21.1	7.96	7.22	1.17	1.15	0.74	2.108e-5	1.883e-3	(A) Black or African American
ZNF789	7q22.1	7.14	6.69	0.69	0.81	0.45	2.114e-5	1.883e-3	(A) Black or African American
SLC25A27	6p12.3	7.17	6.39	1.23	1.25	0.78	2.163e-5	1.917e-3	(A) Black or African American
ANKRD23	2q11.2	5.56	5.11	0.71	0.74	0.45	2.238e-5	1.974e-3	(A) Black or African American
RSKR	17q11.2	5.53	4.91	0.99	0.84	0.62	2.264e-5	1.983e-3	(A) Black or African American
SERHL	22q13.2	6.90	6.56	0.53	0.62	0.34	2.272e-5	1.983e-3	(A) Black or African American
FAM156A	Xp11.22	9.92	9.44	0.77	0.73	0.48	2.322e-5	2.016e-3	(A) Black or African American
SLAMF9	1q23.2	1.77	2.59	1.25	1.52	-0.81	2.473e-5	2.138e-3	(B) White
GPR75	2p16.2	3.95	3.43	0.83	0.82	0.52	2.525e-5	2.155e-3	(A) Black or African American
LRRC37A4P	17q21.31	7.95	7.49	0.68	0.97	0.46	2.531e-5	2.155e-3	(A) Black or African American
GNLY	2p11.2	4.54	5.60	1.65	1.85	-1.06	2.531e-5	2.155e-3	(B) White
ZNF767P	7q36.1	7.69	7.20	0.78	0.76	0.49	2.584e-5	2.190e-3	(A) Black or African American
FDPSP2	7q11.23	3.60	2.96	1.04	0.89	0.64	2.669e-5	2.251e-3	(A) Black or African American
DNASE1L1	Xq28	9.47	9.18	0.44	0.56	0.29	2.685e-5	2.253e-3	(A) Black or African American
OGFOD2	12q24.31	8.56	8.30	0.41	0.43	0.26	2.750e-5	2.297e-3	(A) Black or African American
OGT	Xq13.1	11.96	11.50	0.75	0.71	0.46	2.789e-5	2.313e-3	(A) Black or African American
CEACAM21	19q13.2	2.98	3.63	1.01	1.15	-0.65	2.796e-5	2.313e-3	(B) White
INTU	4q28.1	5.82	5.41	0.62	0.77	0.40	2.856e-5	2.350e-3	(A) Black or African American
MAMDC4	9q34.3	7.01	6.11	1.45	1.34	0.90	2.867e-5	2.350e-3	(A) Black or African American
DNAH17	17q25.3	5.08	4.48	0.98	0.80	0.60	2.909e-5	2.373e-3	(A) Black or African American
ORM2	9q32	0.76	1.44	0.95	1.66	-0.68	2.925e-5	2.375e-3	(B) White
NBPF11	1q21.2	8.38	8.02	0.57	0.62	0.36	2.988e-5	2.405e-3	(A) Black or African American
GAS8-AS1	16q24.3	2.09	1.45	1.05	0.90	0.64	2.989e-5	2.405e-3	(A) Black or African American
PPIEL	1p34.3	5.23	4.43	1.32	1.14	0.81	3.035e-5	2.430e-3	(A) Black or African American
UHRF2	9p24.1	9.68	9.40	0.44	0.49	0.28	3.127e-5	2.493e-3	(A) Black or African American
GBP2	1p22.2	9.77	10.37	0.98	0.94	-0.60	3.181e-5	2.524e-3	(B) White
ATP8A1	4p13	9.63	9.02	0.97	1.07	0.61	3.230e-5	2.551e-3	(A) Black or African American
CROCC	1p36.13	8.78	8.38	0.62	0.76	0.40	3.253e-5	2.558e-3	(A) Black or African American
CDH12	5p14.3	1.64	0.98	1.12	0.74	0.66	3.269e-5	2.559e-3	(A) Black or African American
SF3B1	2q33.1	12.55	12.38	0.26	0.32	0.17	3.323e-5	2.589e-3	(A) Black or African American
ANKMY1	2q37.3	8.16	7.82	0.55	0.49	0.33	3.361e-5	2.608e-3	(A) Black or African American
CTSW	11q13.1	3.72	4.92	1.97	1.74	-1.20	3.396e-5	2.623e-3	(B) White
LOC220729	3q29	7.39	6.98	0.68	0.57	0.41	3.411e-5	2.623e-3	(A) Black or African American
ATM	11q22.3	9.45	9.10	0.54	0.64	0.35	3.455e-5	2.631e-3	(A) Black or African American
IZUMO4	19p13.3	4.30	3.69	0.97	1.11	0.61	3.468e-5	2.631e-3	(A) Black or African American
CYP3A5	7q22.1	9.97	9.05	1.52	1.20	0.91	3.479e-5	2.631e-3	(A) Black or African American
TTC14	3q26.33	8.89	8.47	0.67	0.79	0.42	3.485e-5	2.631e-3	(A) Black or African American
ACSM1	16p12.3	3.41	2.44	1.62	1.23	0.97	3.507e-5	2.631e-3	(A) Black or African American
CCL3	17q12	5.68	6.55	1.37	1.57	-0.86	3.512e-5	2.631e-3	(B) White
EXPH5	11q22.3	8.86	8.39	0.77	0.80	0.48	3.530e-5	2.633e-3	(A) Black or African American
CLUHP3	16p11.2	6.36	5.90	0.74	0.77	0.46	3.576e-5	2.657e-3	(A) Black or African American
KCNAB3	17p13.1	3.24	2.58	1.08	1.08	0.66	3.640e-5	2.693e-3	(A) Black or African American
ANKS3	16p13.3	8.24	7.85	0.65	0.62	0.39	3.697e-5	2.723e-3	(A) Black or African American
ANKRD36B	2q11.2	4.99	4.40	0.96	0.85	0.58	3.805e-5	2.791e-3	(A) Black or African American
VPS8	3q27.2	9.36	9.15	0.35	0.37	0.22	3.947e-5	2.883e-3	(A) Black or African American
TMEM120B	12q24.31	8.84	8.55	0.46	0.49	0.29	3.992e-5	2.904e-3	(A) Black or African American
CTCF	16q22.1	10.46	10.60	0.21	0.30	-0.14	4.034e-5	2.922e-3	(B) White
GOLGA6L5P	15q25.2	4.32	3.70	1.02	1.08	0.63	4.118e-5	2.961e-3	(A) Black or African American
NME9	3q22.3	2.29	1.72	0.95	0.79	0.56	4.121e-5	2.961e-3	(A) Black or African American
CD300C	17q25.1	3.56	4.29	1.19	1.27	-0.73	4.172e-5	2.980e-3	(B) White
CXCR3	Xq13.1	6.08	6.70	1.00	1.07	-0.62	4.197e-5	2.980e-3	(B) White
MAPK8IP3	16p13.3	10.22	9.70	0.86	0.82	0.52	4.199e-5	2.980e-3	(A) Black or African American
MCEMP1	19p13.2	2.33	3.39	1.73	1.83	-1.06	4.231e-5	2.988e-3	(B) White
SPDYE8P	7q11.23	4.14	3.73	0.67	0.63	0.40	4.249e-5	2.988e-3	(A) Black or African American
RRN3P1	16p12.2	6.82	6.20	1.03	0.99	0.63	4.262e-5	2.988e-3	(A) Black or African American
USP49	6p21.1	4.08	3.53	0.92	0.83	0.55	4.311e-5	3.010e-3	(A) Black or African American
ANK1	8p11.21	3.48	4.17	1.08	1.43	-0.69	4.339e-5	3.018e-3	(B) White
LPIN3	20q12	9.86	9.37	0.81	0.80	0.49	4.374e-5	3.030e-3	(A) Black or African American
