Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
PI4KAP2	22q11.21	6.97	6.09	0.92	1.13	0.88	1.42e-23	5.39e-21	(A) Black or African American
LSM7	19p13.3	9.50	8.67	0.91	0.82	0.83	1.61e-23	6.01e-21	(A) Black or African American
SIRT7	17q25.3	8.97	8.34	0.69	0.65	0.63	1.66e-23	6.06e-21	(A) Black or African American
IRF3	19q13.33	10.19	9.48	0.78	0.75	0.72	1.68e-23	6.06e-21	(A) Black or African American
CDK3	17q25.1	7.17	6.26	0.99	0.96	0.91	2.19e-23	7.74e-21	(A) Black or African American
CCDC124	19p13.11	10.28	9.48	0.88	0.84	0.80	2.24e-23	7.79e-21	(A) Black or African American
SNRPB	20p13	12.12	11.48	0.70	0.66	0.64	2.37e-23	8.12e-21	(A) Black or African American
DOHH	19p13.3	8.31	7.47	0.91	0.94	0.84	2.45e-23	8.24e-21	(A) Black or African American
GIPC1	19p13.12	11.47	10.78	0.76	0.73	0.69	2.67e-23	8.82e-21	(A) Black or African American
EFCAB14	1p33	11.26	11.77	0.56	0.49	-0.51	2.85e-23	9.27e-21	(B) White
LRRC45	17q25.3	9.41	8.54	0.95	0.94	0.87	3.42e-23	1.09e-20	(A) Black or African American
NFKBIB	19q13.2	9.07	8.34	0.81	0.75	0.73	3.72e-23	1.17e-20	(A) Black or African American
TUBB8	10p15.3	4.22	3.21	1.10	1.21	1.01	3.94e-23	1.22e-20	(A) Black or African American
DDX12P	12p13.31	6.94	6.04	0.98	0.98	0.89	4.43e-23	1.35e-20	(A) Black or African American
DHRS4-AS1	14q11.2	8.81	9.69	1.00	0.71	-0.88	5.06e-23	1.52e-20	(B) White
CENPT	16q22.1	9.12	8.42	0.77	0.68	0.69	5.24e-23	1.55e-20	(A) Black or African American
LOC90784	2p11.2	7.42	8.41	1.14	0.58	-0.99	5.69e-23	1.66e-20	(B) White
DYNC2H1	11q22.3	7.34	8.53	1.33	1.20	-1.19	6.75e-23	1.94e-20	(B) White
HES4	1p36.33	7.06	5.70	1.52	1.36	1.36	6.97e-23	1.98e-20	(A) Black or African American
PPAN	19p13.2	9.28	8.39	0.99	0.91	0.89	7.85e-23	2.20e-20	(A) Black or African American
DAZAP1	19p13.3	11.03	10.56	0.52	0.47	0.46	8.17e-23	2.26e-20	(A) Black or African American
RBM27	5q32	9.47	9.98	0.58	0.49	-0.51	8.35e-23	2.28e-20	(B) White
UBE2S	19q13.42	9.32	8.37	1.05	1.05	0.95	8.50e-23	2.29e-20	(A) Black or African American
MPST	22q12.3	9.92	9.11	0.91	0.83	0.82	9.36e-23	2.48e-20	(A) Black or African American
MEIS3P1	17p12	7.95	8.76	0.91	0.82	-0.81	9.95e-23	2.61e-20	(B) White
TMUB1	7q36.1	9.72	8.96	0.85	0.76	0.75	1.21e-22	3.12e-20	(A) Black or African American
BTBD7	14q32.12	9.19	9.74	0.62	0.55	-0.55	1.26e-22	3.21e-20	(B) White
PPP2R3B	Xp22.33 and Yp11.31	7.99	7.22	0.87	0.81	0.77	1.43e-22	3.61e-20	(A) Black or African American
AGER	6p21.32	5.78	4.71	1.20	1.18	1.07	1.52e-22	3.80e-20	(A) Black or African American
SNRNP70	19q13.33	11.88	11.24	0.72	0.67	0.64	1.58e-22	3.90e-20	(A) Black or African American
TMED10P1	8q24.3	5.28	5.91	0.71	0.67	-0.63	1.79e-22	4.32e-20	(B) White
LOC642846	12p13.31	7.60	6.75	0.95	0.94	0.85	1.80e-22	4.32e-20	(A) Black or African American
APC	5q22.2	9.05	9.73	0.77	0.66	-0.68	2.06e-22	4.88e-20	(B) White
SCAMP1	5q14.1	10.06	10.66	0.68	0.61	-0.60	2.08e-22	4.88e-20	(B) White
AFF4	5q31.1	10.95	11.67	0.81	0.72	-0.72	2.19e-22	5.09e-20	(B) White
SEL1L	14q31.1	11.18	11.79	0.69	0.66	-0.61	2.57e-22	5.89e-20	(B) White
CCDC137	17q25.3	9.44	8.77	0.76	0.75	0.67	2.77e-22	6.28e-20	(A) Black or African American
BCL2L12	19q13.33	8.71	7.97	0.84	0.83	0.74	3.16e-22	7.08e-20	(A) Black or African American
AURKB	17p13.1	8.28	7.10	1.32	1.43	1.19	3.89e-22	8.63e-20	(A) Black or African American
TNFRSF25	1p36.31	6.64	5.47	1.32	1.36	1.17	4.25e-22	9.32e-20	(A) Black or African American
LYRM7	5q23.3-q31.1	7.88	8.39	0.58	0.52	-0.51	4.46e-22	9.68e-20	(B) White
LRRC37A	17q21.31	7.87	8.54	0.77	0.68	-0.67	4.69e-22	1.01e-19	(B) White
TEPSIN	17q25.3	8.71	8.09	0.70	0.68	0.62	6.48e-22	1.38e-19	(A) Black or African American
CTU2	16q24.3	8.19	7.42	0.89	0.74	0.77	6.73e-22	1.40e-19	(A) Black or African American
PSRC1	1p13.3	8.17	7.39	0.87	0.91	0.77	6.75e-22	1.40e-19	(A) Black or African American
COL4A3BP	5q13.3	9.22	9.84	0.71	0.62	-0.62	7.15e-22	1.47e-19	(B) White
SNHG17	20q11.23	9.04	8.29	0.85	0.82	0.74	8.03e-22	1.64e-19	(A) Black or African American
OGFR	20q13.33	10.57	9.83	0.85	0.82	0.74	8.49e-22	1.71e-19	(A) Black or African American
C1ORF35	1q42.13	9.05	8.31	0.85	0.80	0.74	9.12e-22	1.82e-19	(A) Black or African American
WASH7P	1p36.33	10.42	9.71	0.82	0.77	0.72	9.61e-22	1.88e-19	(A) Black or African American
SNRPA	19q13.2	10.61	10.11	0.57	0.55	0.50	9.68e-22	1.88e-19	(A) Black or African American
PTGES2	9q34.11	9.91	9.30	0.70	0.65	0.61	9.69e-22	1.88e-19	(A) Black or African American
CTDP1	18q23	9.35	8.88	0.54	0.54	0.48	9.76e-22	1.88e-19	(A) Black or African American
STK25	2q37.3	10.88	10.45	0.49	0.46	0.43	1.02e-21	1.95e-19	(A) Black or African American
ASPSCR1	17q25.3	9.42	8.70	0.82	0.78	0.72	1.05e-21	1.96e-19	(A) Black or African American
SCN7A	2q24.3	2.25	3.93	1.88	2.20	-1.69	1.05e-21	1.96e-19	(B) White
NSUN5P2	7q11.23	8.66	7.74	1.06	1.02	0.92	1.06e-21	1.96e-19	(A) Black or African American
WASH8P	12p13.33	9.09	8.22	1.00	0.96	0.87	1.09e-21	2.00e-19	(A) Black or African American
DIXDC1	11q23.1	8.49	9.30	0.95	0.84	-0.82	1.27e-21	2.31e-19	(B) White
MVD	16q24.2	9.35	8.34	1.19	0.96	1.02	1.39e-21	2.50e-19	(A) Black or African American
SLC66A2	18q23	10.05	9.41	0.74	0.69	0.64	1.41e-21	2.52e-19	(A) Black or African American
DDX54	12q24.13	10.87	10.39	0.55	0.55	0.48	1.44e-21	2.54e-19	(A) Black or African American
TEN1	17q25.1	8.52	7.82	0.81	0.76	0.70	1.45e-21	2.54e-19	(A) Black or African American
NSUN5	7q11.23	9.73	9.11	0.73	0.60	0.62	1.47e-21	2.56e-19	(A) Black or African American
SCAND1	20q11.23	10.08	9.13	1.09	0.99	0.94	1.56e-21	2.68e-19	(A) Black or African American
HDGFL2	19p13.3	10.47	9.80	0.76	0.77	0.67	1.64e-21	2.80e-19	(A) Black or African American
SNHG12	1p35.3	8.19	7.37	0.93	0.96	0.81	1.75e-21	2.98e-19	(A) Black or African American
GALK1	17q25.1	8.79	7.96	0.97	0.82	0.83	2.09e-21	3.51e-19	(A) Black or African American
PPP1R35	7q22.1	8.53	7.73	0.92	0.87	0.80	2.15e-21	3.58e-19	(A) Black or African American
NOL12	22q13.1	8.39	7.81	0.67	0.64	0.58	2.22e-21	3.66e-19	(A) Black or African American
OGFOD2	12q24.31	8.56	7.93	0.73	0.67	0.63	2.31e-21	3.76e-19	(A) Black or African American
SART1	11q13.1	10.65	10.04	0.68	0.81	0.61	2.31e-21	3.76e-19	(A) Black or African American
TRIM23	5q12.3	7.77	8.37	0.70	0.64	-0.60	2.40e-21	3.87e-19	(B) White
RALY	20q11.22	11.90	11.40	0.59	0.54	0.50	2.57e-21	4.10e-19	(A) Black or African American
MRPL38	17q25.1	10.35	9.71	0.75	0.66	0.64	2.58e-21	4.10e-19	(A) Black or African American
SNHG3	1p35.3	6.47	5.54	1.08	1.04	0.93	2.74e-21	4.32e-19	(A) Black or African American
CHMP1A	16q24.3	11.36	10.81	0.64	0.56	0.54	2.78e-21	4.35e-19	(A) Black or African American
ZNF816	19q13.41	7.25	7.80	0.65	0.55	-0.55	2.89e-21	4.48e-19	(B) White
MKLN1	7q32.3	10.20	10.62	0.49	0.46	-0.42	2.92e-21	4.48e-19	(B) White
SAFB	19p13.3	11.07	10.71	0.41	0.44	0.36	2.93e-21	4.48e-19	(A) Black or African American
MEF2B	19p13.11	5.61	4.33	1.50	1.29	1.28	2.96e-21	4.49e-19	(A) Black or African American
RBBP8NL	20q13.33	7.74	6.91	0.94	1.12	0.83	3.11e-21	4.68e-19	(A) Black or African American
MRPL12	17q25.3	10.52	9.72	0.93	0.88	0.80	3.18e-21	4.75e-19	(A) Black or African American
CEP131	17q25.3	9.01	8.23	0.89	1.00	0.78	3.20e-21	4.75e-19	(A) Black or African American
UCKL1	20q13.33	9.64	9.02	0.72	0.63	0.61	3.43e-21	5.03e-19	(A) Black or African American
NAT9	17q25.1	9.51	8.92	0.68	0.68	0.59	3.44e-21	5.03e-19	(A) Black or African American
DNAJC16	1p36.21	9.11	9.63	0.61	0.54	-0.52	4.06e-21	5.90e-19	(B) White
RAD50	5q31.1	10.00	10.63	0.74	0.64	-0.63	4.16e-21	6.00e-19	(B) White
BOLA2	16p11.2	10.56	9.95	0.70	0.70	0.60	4.25e-21	6.08e-19	(A) Black or African American
H1FX	3q21.3	11.60	10.90	0.81	0.78	0.69	4.28e-21	6.08e-19	(A) Black or African American
SLC35A5	3q13.2	8.79	9.25	0.54	0.50	-0.46	4.47e-21	6.31e-19	(B) White
PDS5B	13q13.1	9.54	10.06	0.61	0.59	-0.53	4.95e-21	6.89e-19	(B) White
TIMM44	19p13.2	9.56	8.93	0.74	0.64	0.63	4.98e-21	6.89e-19	(A) Black or African American
MIF	22q11.23	12.78	11.87	1.06	1.07	0.91	4.99e-21	6.89e-19	(A) Black or African American
TRMU	22q13.31	8.38	7.68	0.83	0.70	0.70	5.48e-21	7.52e-19	(A) Black or African American
TAF1C	16q24.1	9.61	8.98	0.75	0.64	0.63	5.77e-21	7.87e-19	(A) Black or African American
ARID2	12q12	9.40	10.04	0.77	0.61	-0.64	6.05e-21	8.19e-19	(B) White
LNPEP	5q15	7.09	8.13	1.21	1.17	-1.04	6.19e-21	8.32e-19	(B) White
OXLD1	17q25.3	9.13	8.38	0.89	0.83	0.76	6.23e-21	8.32e-19	(A) Black or African American
RPS19BP1	22q13.1	10.24	9.51	0.85	0.80	0.72	6.29e-21	8.34e-19	(A) Black or African American
AHNAK	11q12.3	14.09	14.91	0.96	0.90	-0.81	6.70e-21	8.83e-19	(B) White
SNAPC4	9q34.3	8.90	8.35	0.65	0.60	0.55	6.78e-21	8.88e-19	(A) Black or African American
MAD1L1	7p22.3	9.08	8.50	0.68	0.65	0.58	7.75e-21	1.01e-18	(A) Black or African American
ATG4B	2q37.3	10.14	9.66	0.57	0.50	0.48	8.11e-21	1.05e-18	(A) Black or African American
TSEN54	17q25.1	9.64	9.04	0.71	0.64	0.60	8.39e-21	1.07e-18	(A) Black or African American
SCRIB	8q24.3	11.34	10.60	0.88	0.84	0.74	8.39e-21	1.07e-18	(A) Black or African American
ANO6	12q12	10.40	11.02	0.74	0.64	-0.62	8.45e-21	1.07e-18	(B) White
AP5Z1	7p22.1	9.56	8.97	0.71	0.64	0.60	8.66e-21	1.09e-18	(A) Black or African American
DDX6	11q23.3	11.37	11.84	0.56	0.45	-0.47	8.95e-21	1.12e-18	(B) White
SHOC2	10q25.2	10.02	10.54	0.61	0.61	-0.52	9.01e-21	1.12e-18	(B) White
SP1	12q13.13	11.22	11.65	0.51	0.40	-0.43	9.06e-21	1.12e-18	(B) White
POP7	7q22.1	9.58	8.99	0.70	0.65	0.59	9.19e-21	1.13e-18	(A) Black or African American
LEMD2	6p21.31	10.25	9.81	0.52	0.49	0.44	1.10e-20	1.34e-18	(A) Black or African American
RRP9	3p21.2	9.03	8.42	0.73	0.61	0.61	1.25e-20	1.52e-18	(A) Black or African American
DPH7	9q34.3	8.70	8.14	0.67	0.60	0.56	1.61e-20	1.94e-18	(A) Black or African American
DUS1L	17q25.3	11.16	10.49	0.80	0.73	0.67	1.63e-20	1.96e-18	(A) Black or African American
RPP21	6p22.1	8.92	8.22	0.84	0.74	0.70	1.66e-20	1.97e-18	(A) Black or African American
GNB1L	22q11.21	7.00	6.20	0.95	0.96	0.80	1.66e-20	1.97e-18	(A) Black or African American
ARFRP1	20q13.33	9.82	9.13	0.83	0.75	0.69	1.68e-20	1.97e-18	(A) Black or African American
DDTL	22q11.23	8.25	7.44	0.97	0.88	0.81	1.68e-20	1.97e-18	(A) Black or African American
CROCC	1p36.13	9.10	8.32	0.90	1.06	0.78	1.74e-20	2.02e-18	(A) Black or African American
TRMT1	19p13.13	9.59	8.95	0.76	0.72	0.64	1.74e-20	2.02e-18	(A) Black or African American
ZNF106	15q15.1	10.11	10.68	0.68	0.64	-0.57	1.78e-20	2.05e-18	(B) White
IPO11	5q12.1	8.91	9.37	0.55	0.53	-0.46	1.87e-20	2.15e-18	(B) White
RECQL4	8q24.3	9.36	8.41	1.12	1.18	0.95	1.89e-20	2.15e-18	(A) Black or African American
APOE	19q13.32	12.65	11.62	1.20	1.34	1.03	1.95e-20	2.21e-18	(A) Black or African American
UEVLD	11p15.1	7.62	8.41	0.96	0.82	-0.80	2.04e-20	2.30e-18	(B) White
ATG2B	14q32.2	9.19	9.78	0.71	0.62	-0.59	2.06e-20	2.31e-18	(B) White
RBM42	19q13.12	10.74	10.10	0.77	0.67	0.64	2.14e-20	2.39e-18	(A) Black or African American
ZNF510	9q22.33	7.76	8.32	0.68	0.56	-0.56	2.16e-20	2.39e-18	(B) White
MOGS	2p13.1	10.83	10.38	0.54	0.48	0.45	2.19e-20	2.41e-18	(A) Black or African American
PWP2	21q22.3	10.07	9.49	0.70	0.53	0.57	2.54e-20	2.78e-18	(A) Black or African American
TEDC1	14q32.33	8.26	7.37	1.06	1.02	0.89	2.55e-20	2.78e-18	(A) Black or African American
ERBIN	5q12.3	10.60	11.20	0.73	0.55	-0.60	2.57e-20	2.78e-18	(B) White
KLF16	19p13.3	9.33	8.71	0.74	0.73	0.62	2.58e-20	2.78e-18	(A) Black or African American
DDA1	19p13.11	9.90	9.45	0.55	0.51	0.46	2.72e-20	2.92e-18	(A) Black or African American
RANGAP1	22q13.2	11.71	11.16	0.66	0.62	0.55	2.88e-20	3.07e-18	(A) Black or African American
NAA10	Xq28	10.27	9.66	0.74	0.64	0.61	2.91e-20	3.09e-18	(A) Black or African American
SPG7	16q24.3	10.28	9.82	0.55	0.48	0.46	2.93e-20	3.10e-18	(A) Black or African American
SMAD5	5q31.1	10.04	10.57	0.65	0.57	-0.54	3.15e-20	3.30e-18	(B) White
LYSMD3	5q14.3	8.57	9.15	0.70	0.60	-0.58	3.16e-20	3.30e-18	(B) White
TSSC4	11p15.5	9.64	8.95	0.83	0.77	0.69	3.29e-20	3.43e-18	(A) Black or African American
FGD4	12p11.21	7.50	8.26	0.92	0.76	-0.75	3.41e-20	3.52e-18	(B) White
H2AFX	11q23.3	10.02	9.36	0.76	0.91	0.66	3.46e-20	3.56e-18	(A) Black or African American
F8A1	Xq28	7.58	7.00	0.70	0.62	0.57	3.57e-20	3.66e-18	(A) Black or African American
PDAP1	7q22.1	11.45	10.95	0.60	0.54	0.49	3.59e-20	3.66e-18	(A) Black or African American
QRICH2	17q25.1	6.77	5.90	1.03	1.09	0.87	3.68e-20	3.73e-18	(A) Black or African American
RPS26	12q13.2	9.78	9.01	0.94	0.81	0.77	3.73e-20	3.76e-18	(A) Black or African American
PAXX	9q34.3	9.23	8.44	0.96	0.87	0.79	3.78e-20	3.79e-18	(A) Black or African American
POLK	5q13.3	8.16	8.82	0.80	0.64	-0.65	3.79e-20	3.79e-18	(B) White
TACC3	4p16.3	10.18	9.44	0.87	0.94	0.73	3.82e-20	3.79e-18	(A) Black or African American
FASTK	7q36.1	10.67	10.02	0.79	0.67	0.65	3.84e-20	3.80e-18	(A) Black or African American
FAT3	11q14.3	3.20	4.57	1.63	1.68	-1.37	3.90e-20	3.84e-18	(B) White
TRAF2	9q34.3	9.52	8.94	0.69	0.65	0.57	3.99e-20	3.90e-18	(A) Black or African American
ARMC6	19p13.11	9.78	9.27	0.62	0.54	0.51	4.06e-20	3.96e-18	(A) Black or African American
SPPL2B	19p13.3	10.04	9.44	0.73	0.66	0.60	4.20e-20	4.07e-18	(A) Black or African American
FBRSL1	12q24.33	9.56	9.01	0.67	0.62	0.55	4.40e-20	4.24e-18	(A) Black or African American
E2F1	20q11.22	9.13	8.21	1.09	1.20	0.92	4.79e-20	4.60e-18	(A) Black or African American
EEA1	12q22	8.92	9.56	0.78	0.68	-0.64	4.83e-20	4.62e-18	(B) White
HMBOX1	8p21.1-p12	5.97	6.78	0.99	0.90	-0.81	4.99e-20	4.75e-18	(B) White
TRIP11	14q32.12	9.50	10.10	0.74	0.67	-0.61	5.06e-20	4.79e-18	(B) White
RRP1	21q22.3	9.87	9.06	0.99	0.74	0.80	5.23e-20	4.93e-18	(A) Black or African American
ZNF429	19p12	6.89	7.60	0.87	0.70	-0.70	5.43e-20	5.09e-18	(B) White
ESS2	22q11.21|22q11.2	8.86	8.41	0.54	0.55	0.45	5.53e-20	5.17e-18	(A) Black or African American
DHX34	19q13.32	9.52	9.04	0.58	0.57	0.48	5.68e-20	5.29e-18	(A) Black or African American
TONSL	8q24.3	9.10	8.21	1.07	1.04	0.89	5.72e-20	5.30e-18	(A) Black or African American
ZNF628	19q13.42	7.43	6.81	0.74	0.76	0.62	5.89e-20	5.42e-18	(A) Black or African American
SELENOO	22q13.33	8.93	8.21	0.87	0.79	0.72	6.34e-20	5.81e-18	(A) Black or African American
TMEM191A	22q11.21	5.04	4.15	1.08	1.00	0.89	6.67e-20	6.09e-18	(A) Black or African American
HTR2B	2q37.1	4.08	5.14	1.27	1.36	-1.06	6.80e-20	6.18e-18	(B) White
NAPEPLD	7q22.1	8.32	8.80	0.59	0.50	-0.48	6.96e-20	6.30e-18	(B) White
BMPR2	2q33.1-q33.2	10.79	11.42	0.77	0.62	-0.63	7.08e-20	6.37e-18	(B) White
SPOPL	2q22.1	9.81	10.55	0.90	0.83	-0.74	7.14e-20	6.40e-18	(B) White
DCTN4	5q33.1	10.50	11.00	0.61	0.54	-0.50	7.21e-20	6.43e-18	(B) White
FAM172A	5q15	8.42	8.95	0.65	0.59	-0.53	7.24e-20	6.43e-18	(B) White
ZNF787	19q13.43	9.32	8.66	0.79	0.83	0.66	7.93e-20	7.01e-18	(A) Black or African American
WASH2P	2q14.1	8.49	7.75	0.89	0.82	0.73	7.98e-20	7.03e-18	(A) Black or African American
PIK3C2A	11p15.1	9.83	10.51	0.84	0.68	-0.68	8.04e-20	7.05e-18	(B) White
CENPM	22q13.2	7.72	6.90	0.98	1.09	0.83	8.16e-20	7.13e-18	(A) Black or African American
DVL1	1p36.33	10.41	9.73	0.83	0.79	0.68	8.22e-20	7.15e-18	(A) Black or African American
RFPL3S	22q12.3	3.31	2.36	1.18	1.01	0.95	8.39e-20	7.27e-18	(A) Black or African American
LINC00634	22q13.2	2.78	1.71	1.33	1.14	1.08	8.76e-20	7.55e-18	(A) Black or African American
TEDC2	16p13.3	7.53	6.69	1.01	1.08	0.84	8.93e-20	7.67e-18	(A) Black or African American
ILKAP	2q37.3	9.06	8.65	0.50	0.42	0.40	9.29e-20	7.94e-18	(A) Black or African American
ST20	15q25.1	6.54	5.81	0.89	0.81	0.72	9.65e-20	8.21e-18	(A) Black or African American
PAM16	16p13.3	8.23	7.47	0.92	0.88	0.75	9.74e-20	8.26e-18	(A) Black or African American
PREX2	8q13.2	3.64	5.21	1.92	1.81	-1.57	1.01e-19	8.51e-18	(B) White
KMT2A	11q23.3	10.15	10.74	0.72	0.66	-0.59	1.04e-19	8.76e-18	(B) White
LMBRD2	5p13.2	6.74	7.74	1.24	1.08	-1.01	1.07e-19	8.94e-18	(B) White
ZNF598	16p13.3	10.09	9.56	0.65	0.61	0.53	1.07e-19	8.94e-18	(A) Black or African American
POLR2F	22q13.1	9.57	8.87	0.85	0.78	0.70	1.08e-19	8.94e-18	(A) Black or African American
ALKBH6	19q13.12	7.40	6.73	0.82	0.69	0.67	1.10e-19	9.06e-18	(A) Black or African American
UTP14C	13q14.3	9.59	10.17	0.71	0.67	-0.58	1.10e-19	9.06e-18	(B) White
UBE3A	15q11.2	10.59	11.07	0.60	0.57	-0.49	1.18e-19	9.67e-18	(B) White
EMC6	17p13.2	8.53	7.96	0.70	0.65	0.57	1.22e-19	9.93e-18	(A) Black or African American
EXD3	9q34.3	8.06	7.32	0.90	0.81	0.73	1.26e-19	1.02e-17	(A) Black or African American
EWSR1	22q12.2	12.21	11.90	0.37	0.37	0.30	1.30e-19	1.05e-17	(A) Black or African American
WDR36	5q22.1	9.16	9.59	0.53	0.45	-0.43	1.35e-19	1.09e-17	(B) White
TBRG4	7p13	10.51	9.99	0.64	0.54	0.51	1.37e-19	1.10e-17	(A) Black or African American
TASOR	3p14.3	10.38	10.84	0.57	0.51	-0.46	1.41e-19	1.13e-17	(B) White
YIF1B	19q13.2	9.94	9.31	0.78	0.65	0.63	1.41e-19	1.13e-17	(A) Black or African American
BRICD5	16p13.3	5.03	3.93	1.34	1.33	1.10	1.43e-19	1.14e-17	(A) Black or African American
C4ORF48	4p16.3	6.21	4.92	1.56	1.61	1.29	1.47e-19	1.17e-17	(A) Black or African American
PCM1	8p22	11.09	11.74	0.79	0.82	-0.65	1.49e-19	1.17e-17	(B) White
