Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
BCL2L1	20q11.21	-0.04	-0.12	0.20	0.25	0.08	0.0349	0.337	(A) Asian
CHEK1	11q24.2	-0.07	-0.13	0.17	0.16	0.06	0.0367	0.339	(A) Asian
EGFR_PY1173	3p25	0.69	0.58	0.32	0.22	0.11	0.0415	0.346	(A) Asian
CHEK2_PT68	1p32-p31	-0.49	-0.58	0.25	0.24	0.09	0.0416	0.346	(A) Asian
CLDN7	17p13.1	1.89	2.48	1.65	1.53	-0.58	0.0441	0.346	(B) White
PRKCA	17q24.2	-0.65	-0.53	0.35	0.35	-0.12	0.0444	0.346	(B) White
MET_PY1235	11q13	0.43	0.38	0.14	0.19	0.05	0.0480	0.361	(A) Asian
PCNA	20p12.3	-1.37	-1.46	0.26	0.21	0.08	0.0576	0.417	(A) Asian
EIF4EBP1_PT70	17q21	-0.59	-0.63	0.14	0.14	0.04	0.0663	0.450	(A) Asian
BAK1	6p21.31	0.85	0.73	0.37	0.34	0.12	0.0665	0.450	(A) Asian
XBP1	22q12.1|22q12	-0.93	-1.03	0.31	0.26	0.10	0.0751	0.485	(A) Asian
STAT5A	17q21.2	1.37	1.53	0.54	0.48	-0.16	0.0813	0.485	(B) White
RAB11A	15q22.31	-0.07	-0.19	0.39	0.33	0.12	0.0819	0.485	(A) Asian
RAB11B	19p13.2	-0.07	-0.19	0.39	0.33	0.12	0.0819	0.485	(A) Asian
BCL2	18q21.33	0.06	0.17	0.36	0.44	-0.11	0.0836	0.485	(B) White
PRDX1	1p34.1	-1.26	-1.37	0.37	0.34	0.11	0.0889	0.501	(A) Asian
CDH3	16q22.1	-1.14	-1.20	0.19	0.22	0.06	0.0924	0.507	(A) Asian
ERBB2_PY1248	6q25.1	-0.25	-0.13	0.39	0.49	-0.12	0.101	0.530	(B) White
PIK3CA	3q26.32	-0.34	-0.42	0.27	0.32	0.08	0.102	0.530	(A) Asian
RPS6KB1	17q23.1	0.16	0.21	0.18	0.22	-0.05	0.105	0.534	(B) White
STMN1	1p36.11	-0.02	-0.09	0.24	0.22	0.07	0.110	0.537	(A) Asian
TSC2_PT1462	1q21	-0.61	-0.56	0.15	0.24	-0.05	0.111	0.537	(B) White
BCL2L11	2q13	-0.31	-0.22	0.31	0.38	-0.09	0.120	0.548	(B) White
SRC_PY416	9p21	-0.15	-0.08	0.24	0.37	-0.07	0.120	0.548	(B) White
STAT3_PY705	19q13.33	0.26	0.38	0.40	0.53	-0.11	0.122	0.548	(B) White
CAV1	7q31.2	2.12	1.88	0.90	0.80	0.24	0.124	0.548	(A) Asian
EIF4EBP1_PS65	8p12	-0.06	-0.10	0.15	0.15	0.04	0.127	0.548	(A) Asian
PREX1	20q13.13	-0.60	-0.47	0.48	0.55	-0.13	0.134	0.564	(B) White
YBX1_PS102	20q12-q13	0.19	0.13	0.24	0.24	0.06	0.136	0.564	(A) Asian
PECAM1	17q23.3	-0.86	-0.92	0.25	0.20	0.06	0.143	0.569	(A) Asian
YWHAE	17p13.3	-0.47	-0.56	0.36	0.30	0.09	0.143	0.569	(A) Asian
PRKCA_PS657	4q24	-0.82	-0.73	0.37	0.41	-0.10	0.146	0.569	(B) White
MSH6	2p16.3	-0.39	-0.33	0.19	0.22	-0.05	0.149	0.569	(B) White
BRAF	7q34	0.95	1.05	0.45	0.36	-0.11	0.158	0.590	(B) White
CDKN1B_PT198	Xp11.4-p11.2	0.06	-0.00	0.24	0.13	0.06	0.160	0.590	(A) Asian
ERRFI1	1p36.23	0.11	0.14	0.14	0.20	-0.04	0.165	0.596	(B) White
MAPK1_PT202_Y204	5q21-q22	-0.05	-0.20	0.63	0.58	0.15	0.170	0.596	(A) Asian
MAPK3_PT202_Y204	5q21-q22	-0.05	-0.20	0.63	0.58	0.15	0.170	0.596	(A) Asian
ANXA1	9q21.13	1.75	1.52	0.97	1.05	0.23	0.177	0.606	(A) Asian
SQSTM1	5q35.3	-0.11	-0.03	0.37	0.41	-0.09	0.179	0.606	(B) White
ASNS	7q21.3	-1.09	-1.19	0.43	0.47	0.10	0.189	0.630	(A) Asian
FN1	2q35	2.03	1.70	1.44	1.65	0.33	0.199	0.643	(A) Asian
MTOR_PS2448	8p11.1	-0.51	-0.55	0.17	0.19	0.04	0.200	0.643	(A) Asian
RAD50	5q31.1	0.52	0.32	0.95	0.44	0.20	0.204	0.643	(A) Asian
EIF4G1	3q27.1	-0.76	-0.67	0.41	0.36	-0.09	0.207	0.643	(B) White
RB1_PS807_S811	5q21-q22	-0.38	-0.47	0.44	0.44	0.10	0.216	0.643	(A) Asian
CDH1	16q22.1	1.43	1.58	0.72	0.55	-0.15	0.218	0.643	(B) White
TSC1	9q34.13	1.14	1.21	0.36	0.29	-0.08	0.219	0.643	(B) White
CCNE2	8q22.1	1.28	1.21	0.36	0.32	0.08	0.221	0.643	(A) Asian
YAP1_PS127	20q12-q13	1.99	1.87	0.56	0.53	0.12	0.223	0.643	(A) Asian
MAPK1	22q11.22	1.32	1.22	0.49	0.42	0.10	0.225	0.643	(A) Asian
RAD51	15q15.1	-0.71	-0.80	0.43	0.33	0.09	0.228	0.643	(A) Asian
ESR1	6q25.1-q25.2	-1.01	-0.93	0.37	0.52	-0.08	0.242	0.669	(B) White
SRC_PY527	9p21	-0.69	-0.61	0.38	0.52	-0.08	0.247	0.669	(B) White
ERCC1	19q13.32	0.16	0.23	0.31	0.39	-0.06	0.249	0.669	(B) White
MTOR	1p36.22	1.01	1.07	0.33	0.24	-0.06	0.251	0.669	(B) White
PRKCD_PS664	12p13.1-p12	-0.06	-0.10	0.20	0.23	0.04	0.282	0.720	(A) Asian
CASP7	10q25.3	-0.67	-0.74	0.41	0.38	0.08	0.282	0.720	(A) Asian
KIT	4q12	0.20	0.29	0.49	0.61	-0.09	0.284	0.720	(B) White
SMAD3	15q22.33	0.57	0.51	0.29	0.30	0.05	0.284	0.720	(A) Asian
GATA3	10p14	0.20	0.26	0.30	0.28	-0.05	0.288	0.722	(B) White
GSK3A_PS9	8p11.1	0.33	0.24	0.50	0.44	0.09	0.306	0.748	(A) Asian
GSK3B_PS9	8p11.1	0.33	0.24	0.50	0.44	0.09	0.306	0.748	(A) Asian
CDK1	10q21.2	0.53	0.45	0.46	0.44	0.08	0.312	0.755	(A) Asian
TP53	17p13.1	-1.29	-1.34	0.28	0.29	0.05	0.318	0.756	(A) Asian
XRCC5	2q35	1.13	1.22	0.54	0.38	-0.09	0.320	0.756	(B) White
CCND1	11q13.3	0.24	0.21	0.20	0.19	0.03	0.334	0.780	(A) Asian
MYC	8q24.21	0.36	0.30	0.39	0.30	0.06	0.341	0.787	(A) Asian
WWTR1	3q25.1	0.39	0.34	0.31	0.28	0.05	0.354	0.797	(A) Asian
ERBB3	12q13.2	0.37	0.29	0.49	0.42	0.08	0.355	0.797	(A) Asian
SMAD4	18q21.2	-1.13	-1.15	0.16	0.15	0.03	0.357	0.797	(A) Asian
TP53BP1	15q15.3	1.14	1.25	0.73	0.51	-0.11	0.368	0.802	(B) White
CDKN1B_PT157	8p12	-0.10	-0.12	0.14	0.15	0.02	0.384	0.802	(A) Asian
ESR1_PS118	11q24.2	-0.05	-0.07	0.12	0.20	0.02	0.386	0.802	(A) Asian
G6PD	Xq28	-0.76	-0.70	0.38	0.47	-0.06	0.389	0.802	(B) White
PARK7	1p36.23	0.85	0.82	0.21	0.24	0.03	0.391	0.802	(A) Asian
SHC1_PY317	13q14.2	-1.66	-1.73	0.43	0.48	0.07	0.392	0.802	(A) Asian
BECN1	17q21.31	-0.62	-0.65	0.20	0.21	0.03	0.398	0.802	(A) Asian
GAB2	11q14.1	0.40	0.44	0.24	0.28	-0.04	0.398	0.802	(B) White
EIF4EBP1_PT37	8p12	0.26	0.17	0.60	0.54	0.09	0.403	0.802	(A) Asian
PDK1	2q31.1	-0.42	-0.36	0.37	0.36	-0.05	0.403	0.802	(B) White
RPS6KA1_PT359_S363	5q21-q22	-0.25	-0.29	0.30	0.32	0.04	0.403	0.802	(A) Asian
NF2	22q12.2	0.94	1.00	0.41	0.39	-0.06	0.411	0.802	(B) White
RPS6_PS240_S244	5q21-q22	-0.52	-0.45	0.49	0.53	-0.07	0.413	0.802	(B) White
SRSF1	17q22	-1.56	-1.50	0.42	0.35	-0.06	0.416	0.802	(B) White
ERBB2	17q12	0.23	0.31	0.56	0.55	-0.08	0.419	0.802	(B) White
EEF2K	16p12.2	-0.21	-0.25	0.30	0.29	0.04	0.430	0.806	(A) Asian
ARAF_PS299	12q24.11	-1.12	-1.16	0.31	0.29	0.04	0.431	0.806	(A) Asian
EIF4EBP1	8p11.23	-0.39	-0.33	0.44	0.37	-0.06	0.434	0.806	(B) White
MAPK14_PT180_Y182	5q21-q22	1.03	0.93	0.76	0.61	0.10	0.439	0.806	(A) Asian
AKT1	14q32.33	0.79	0.71	0.56	0.51	0.07	0.452	0.806	(A) Asian
AKT2	19q13.2	0.79	0.71	0.56	0.51	0.07	0.452	0.806	(A) Asian
AKT3	1q43-q44	0.79	0.71	0.56	0.51	0.07	0.452	0.806	(A) Asian
ITGA2	5q11.2	-0.64	-0.60	0.26	0.31	-0.03	0.453	0.806	(B) White
CDKN1B	12p13.1	0.16	0.19	0.24	0.25	-0.03	0.458	0.806	(B) White
LCK	1p35.2	0.36	0.32	0.32	0.38	0.04	0.460	0.806	(A) Asian
EIF4E	4q23	-0.34	-0.30	0.27	0.34	-0.03	0.474	0.813	(B) White
MAPK9	5q35.3	0.71	0.75	0.33	0.27	-0.04	0.485	0.813	(B) White
BIRC2	11q22.2	0.19	0.22	0.20	0.19	-0.02	0.496	0.813	(B) White
STK11	19p13.3	1.04	1.10	0.52	0.48	-0.06	0.500	0.813	(B) White
NDRG1_PT346	22q11.21	-0.92	-0.98	0.48	0.44	0.05	0.507	0.813	(A) Asian
RBM15	1p13.3	1.41	1.47	0.56	0.41	-0.06	0.510	0.813	(B) White
PRKAA1	5p13.1	0.94	0.90	0.30	0.27	0.03	0.515	0.813	(A) Asian
PDCD4	10q25.2	2.02	1.92	0.89	0.71	0.10	0.518	0.813	(A) Asian
MYH11	16p13.11	-0.14	-0.00	1.23	1.42	-0.14	0.519	0.813	(B) White
BAD_PS112	19q13.1-q13.2	0.39	0.36	0.30	0.27	0.03	0.522	0.813	(A) Asian
DIRAS3	1p31.3	-2.53	-2.50	0.27	0.31	-0.03	0.524	0.813	(B) White
CTNNB1	3p22.1	2.71	2.78	0.66	0.57	-0.07	0.527	0.813	(B) White
TFRC	3q29	-0.36	-0.41	0.45	0.58	0.05	0.528	0.813	(A) Asian
XRCC1	19q13.31	0.04	0.02	0.23	0.24	0.03	0.535	0.813	(A) Asian
AKT1_PS473	8p11.1	-0.57	-0.62	0.45	0.41	0.05	0.536	0.813	(A) Asian
AKT2_PS473	8p11.1	-0.57	-0.62	0.45	0.41	0.05	0.536	0.813	(A) Asian
AKT3_PS473	8p11.1	-0.57	-0.62	0.45	0.41	0.05	0.536	0.813	(A) Asian
ACACA	17q12	-0.15	-0.11	0.48	0.44	-0.05	0.551	0.813	(B) White
PIK3R1	5q13.1	1.30	1.28	0.23	0.28	0.02	0.551	0.813	(A) Asian
PIK3R2	19p13.11	1.30	1.28	0.23	0.28	0.02	0.551	0.813	(A) Asian
RAB25	1q22	-1.23	-1.29	0.62	0.61	0.06	0.557	0.813	(A) Asian
RPS6KB1_PT389	6q21	-1.15	-1.19	0.43	0.42	0.04	0.557	0.813	(A) Asian
FASN	17q25.3	-1.36	-1.40	0.39	0.33	0.04	0.561	0.813	(A) Asian
CCNE1	19q12	-0.94	-0.97	0.27	0.29	0.03	0.562	0.813	(A) Asian
FOXM1	12p13.33	-0.92	-0.96	0.38	0.36	0.04	0.565	0.813	(A) Asian
NRAS	1p13.2	-1.17	-1.20	0.30	0.27	0.03	0.585	0.836	(A) Asian
PRKCB_PS660	5q21-q22	1.63	1.57	0.67	0.53	0.06	0.598	0.842	(A) Asian
CDKN1A	6p21.2	0.20	0.17	0.36	0.32	0.03	0.601	0.842	(A) Asian
MAPK8_PT183_Y185		0.09	0.07	0.24	0.30	0.02	0.601	0.842	(A) Asian
PEA15_PS116	1p36.2	0.23	0.20	0.36	0.42	0.03	0.611	0.844	(A) Asian
COL6A1	21q22.3	0.63	0.67	0.44	0.52	-0.04	0.611	0.844	(B) White
VHL	3p25.3	-0.65	-0.54	1.22	1.25	-0.11	0.620	0.849	(B) White
SYK	9q22.2	2.13	2.17	0.50	0.41	-0.04	0.623	0.849	(B) White
NOTCH1	9q34.3	-0.55	-0.57	0.17	0.18	0.01	0.649	0.879	(A) Asian
CHEK2	22q12.1	-0.67	-0.64	0.30	0.33	-0.02	0.656	0.882	(B) White
RPS6_PS235_S236	5q21-q22	-0.86	-0.81	0.70	0.57	-0.05	0.671	0.893	(B) White
MAPK14	6p21.31	0.49	0.47	0.30	0.28	0.02	0.675	0.893	(A) Asian
RICTOR_PT1135	2q31.1	0.37	0.35	0.26	0.31	0.02	0.677	0.893	(A) Asian
MAP2K1	15q22.31	0.00	0.03	0.46	0.43	-0.03	0.685	0.897	(B) White
DVL3	3q27.1	0.45	0.47	0.25	0.33	-0.02	0.694	0.904	(B) White
SRC	20q11.23	-0.85	-0.87	0.19	0.25	0.01	0.700	0.905	(A) Asian
ACVRL1	12q13.13	-0.23	-0.25	0.31	0.32	0.02	0.707	0.905	(A) Asian
PTEN	10q23.31	0.50	0.53	0.49	0.33	-0.03	0.712	0.905	(B) White
RPS6	9p22.1	0.21	0.24	0.48	0.41	-0.03	0.713	0.905	(B) White
ATM	11q22.3	2.00	1.98	0.46	0.40	0.03	0.720	0.908	(A) Asian
MYH9_PS1943	10q11.22	-1.05	-1.03	0.33	0.40	-0.02	0.727	0.911	(B) White
KDR	4q12	1.41	1.39	0.41	0.32	0.02	0.732	0.912	(A) Asian
NFKB1_PS536	16p11.2	-0.51	-0.47	0.56	0.50	-0.03	0.747	0.924	(B) White
RPS6KA1	1p36.11	-0.20	-0.18	0.33	0.31	-0.02	0.758	0.932	(B) White
YBX1	1p34.2	-0.46	-0.49	0.40	0.35	0.02	0.762	0.932	(A) Asian
DIABLO	12q24.31	0.86	0.82	0.74	0.70	0.04	0.772	0.938	(A) Asian
GSK3A_PS21_S9	5q21-q22	0.39	0.36	0.64	0.51	0.03	0.806	0.965	(A) Asian
GSK3B_PS21_S9	5q21-q22	0.39	0.36	0.64	0.51	0.03	0.806	0.965	(A) Asian
MSH2	2p21-p16.3	-0.85	-0.84	0.28	0.25	-0.01	0.808	0.965	(B) White
YWHAZ	8q22.3	0.74	0.73	0.25	0.27	0.01	0.817	0.965	(A) Asian
GAPDH	12p13.31	0.51	0.47	0.87	0.95	0.03	0.825	0.965	(A) Asian
PGR	11q22.1	-0.52	-0.51	0.22	0.24	-0.01	0.830	0.965	(B) White
CCNB1	5q13.2	-0.73	-0.72	0.36	0.35	-0.01	0.830	0.965	(B) White
AR	Xq12	-0.19	-0.20	0.31	0.33	0.01	0.833	0.965	(A) Asian
ACACA_PS79	3q13.3	-0.73	-0.72	0.34	0.40	-0.01	0.845	0.965	(B) White
ACACB_PS79	8p11.1	-0.73	-0.72	0.34	0.40	-0.01	0.845	0.965	(B) White
BRCA2	13q13.1	0.24	0.23	0.48	0.54	0.02	0.846	0.965	(A) Asian
PRKAA1_PT172	19q13.1-q13.2	2.43	2.44	0.49	0.45	-0.02	0.857	0.970	(B) White
SMAD1	4q31.21	-0.55	-0.54	0.35	0.39	-0.01	0.860	0.970	(B) White
TGM2	20q11.23	-0.40	-0.39	0.33	0.33	-0.01	0.871	0.975	(B) White
IGFBP2	2q35	-0.41	-0.42	0.35	0.37	0.01	0.882	0.975	(A) Asian
RPTOR	17q25.3	1.36	1.36	0.25	0.20	-0.01	0.884	0.975	(B) White
SCD	10q24.31	-1.24	-1.25	0.46	0.44	0.01	0.889	0.975	(A) Asian
PDK1_PS241	15q22.1-q22.33	0.34	0.34	0.27	0.26	-0.01	0.898	0.975	(B) White
MS4A1	11q12.2	0.33	0.33	0.31	0.34	-0.01	0.900	0.975	(B) White
ETS1	11q24.3	0.99	1.00	0.43	0.59	-0.01	0.904	0.975	(B) White
PXN	12q24.23	0.76	0.75	0.47	0.42	0.01	0.907	0.975	(A) Asian
IRS1	2q36.3	-0.28	-0.29	0.24	0.29	0.00	0.908	0.975	(A) Asian
NRG1	8p12	-0.84	-0.85	0.55	0.38	0.01	0.924	0.983	(A) Asian
TIGAR	12p13.32	3.41	3.38	2.15	2.07	0.03	0.938	0.983	(A) Asian
ANXA7	10q22.2	-0.57	-0.58	0.20	0.24	0.00	0.940	0.983	(A) Asian
YWHAB	20q13.12	-0.22	-0.22	0.22	0.22	0.00	0.951	0.983	(A) Asian
AKT1_PT308	8p11.1	0.07	0.07	0.34	0.35	-0.00	0.951	0.983	(B) White
AKT2_PT308	8p11.1	0.07	0.07	0.34	0.35	-0.00	0.951	0.983	(B) White
AKT3_PT308	8p11.1	0.07	0.07	0.34	0.35	-0.00	0.951	0.983	(B) White
EGFR_PY1068	7q31	-1.62	-1.62	0.37	0.38	-0.00	0.967	0.983	(B) White
FOXO3	6q21	-0.62	-0.62	0.24	0.21	0.00	0.968	0.983	(A) Asian
GSK3A	19q13.2	0.55	0.55	0.22	0.26	0.00	0.968	0.983	(A) Asian
GSK3B	3q13.33	0.55	0.55	0.22	0.26	0.00	0.968	0.983	(A) Asian
AKT1S1_PT246	17q23.1	0.29	0.29	0.32	0.31	0.00	0.977	0.986	(A) Asian
RAF1	3p25.2	1.00	1.00	0.19	0.18	-0.00	0.981	0.986	(B) White
EGFR	7p11.2	0.10	0.10	0.31	0.34	-0.00	0.988	0.988	(B) White
