Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
MAPK8IP1P2	17q21.31	2.41	3.27	1.18	1.17	-0.86	1.42e-10	1.36e-7	(B) White
SPG7	16q24.3	10.26	10.63	0.55	0.47	-0.37	3.82e-10	3.35e-7	(B) White
DSCC1	8q24.12	6.82	6.14	0.89	1.01	0.68	3.84e-10	3.35e-7	(A) Asian
NUTM2G	9q22.33	1.79	1.13	1.06	0.77	0.66	7.04e-10	5.89e-7	(A) Asian
SPRY3	Xq28 and Yq12	4.57	5.12	0.74	0.84	-0.55	9.77e-10	7.85e-7	(B) White
RINL	19q13.2	8.18	7.45	1.07	1.04	0.73	1.29e-9	9.98e-7	(A) Asian
AOC1	7q36.1	2.73	4.41	2.38	2.50	-1.67	1.52e-9	1.133e-6	(B) White
C16ORF46	16q23.2	4.49	5.13	0.88	0.98	-0.64	1.75e-9	1.255e-6	(B) White
CHIT1	1q32.1	2.61	4.35	2.27	2.82	-1.73	1.97e-9	1.307e-6	(B) White
MBTPS1	16q23.3-q24.1	10.65	10.99	0.52	0.46	-0.34	2.02e-9	1.307e-6	(B) White
FKBP1AP1	19q13.43	3.59	2.76	1.02	1.40	0.83	2.06e-9	1.307e-6	(A) Asian
LILRA3	19q13.4	0.99	2.04	1.49	1.60	-1.05	2.08e-9	1.307e-6	(B) White
LOC391322	22q11.23	1.67	2.71	1.61	1.42	-1.04	2.34e-9	1.381e-6	(B) White
SRP14	15q15.1	12.34	12.06	0.42	0.42	0.29	2.39e-9	1.381e-6	(A) Asian
BEND3P3	10q22.3	2.45	3.53	1.59	1.59	-1.08	2.47e-9	1.381e-6	(B) White
LOC283856	16q13	0.77	1.72	1.15	1.62	-0.94	2.48e-9	1.381e-6	(B) White
CYP2D6	22q13.2	13.09	11.45	2.60	2.19	1.63	2.86e-9	1.517e-6	(A) Asian
RPL30	8q22.2	14.60	14.00	0.87	0.89	0.59	2.87e-9	1.517e-6	(A) Asian
FBLL1	5q34	4.67	3.10	2.54	2.08	1.57	3.26e-9	1.678e-6	(A) Asian
SPCS3	4q34.2	10.81	11.19	0.61	0.54	-0.39	3.36e-9	1.686e-6	(B) White
CCL3L1	17q21.1	4.88	3.77	1.66	1.64	1.11	3.65e-9	1.787e-6	(A) Asian
NEK1	4q33	6.93	7.42	0.73	0.74	-0.49	4.98e-9	2.381e-6	(B) White
CBR4	4q32.3	9.00	9.58	0.87	0.89	-0.58	5.34e-9	2.457e-6	(B) White
TRAPPC11	4q35.1	8.81	9.20	0.60	0.60	-0.39	5.47e-9	2.457e-6	(B) White
MBL1P	10q22.3	2.16	3.35	1.68	1.93	-1.19	5.55e-9	2.457e-6	(B) White
USP38	4q31.21	8.92	9.37	0.65	0.71	-0.45	5.63e-9	2.457e-6	(B) White
GUSBP5	4q31.21	1.52	2.37	1.23	1.33	-0.84	6.07e-9	2.569e-6	(B) White
CACYBP	1q25.1	10.76	10.33	0.66	0.65	0.43	6.14e-9	2.569e-6	(A) Asian
MON1B	16q23.1	8.79	9.16	0.60	0.50	-0.36	6.63e-9	2.716e-6	(B) White
CLRN3	10q26.2	4.82	6.92	3.29	3.05	-2.09	7.09e-9	2.847e-6	(B) White
RPS6KA2	6q27	7.90	8.65	1.11	1.16	-0.74	7.29e-9	2.854e-6	(B) White
NSMCE2	8q24.13	9.13	8.61	0.76	0.83	0.52	7.39e-9	2.854e-6	(A) Asian
ARL16	17q25.3	9.30	8.83	0.62	0.81	0.47	8.20e-9	3.066e-6	(A) Asian
ZNF295-AS1	21q22.3	0.48	1.33	0.82	1.66	-0.85	8.25e-9	3.066e-6	(B) White
NCAPH2	22q13.33	10.30	9.88	0.64	0.65	0.42	9.21e-9	3.364e-6	(A) Asian
PHKB	16q12.1	9.97	10.39	0.68	0.58	-0.41	1.13e-8	4.012e-6	(B) White
SHPK	17p13.2	8.56	9.03	0.73	0.72	-0.47	1.14e-8	4.012e-6	(B) White
MFSD8	4q28.2	8.01	8.34	0.49	0.53	-0.33	1.16e-8	4.012e-6	(B) White
MLYCD	16q23.3	8.92	9.49	0.92	0.86	-0.58	1.20e-8	4.071e-6	(B) White
MZT2A	2q21.1	9.85	9.31	0.71	0.98	0.55	1.26e-8	4.204e-6	(A) Asian
MFSD14C	9q22.33	4.35	3.77	0.90	0.93	0.58	1.52e-8	4.993e-6	(A) Asian
SCNM1	1q21.3	9.54	9.07	0.67	0.80	0.47	1.83e-8	5.922e-6	(A) Asian
LOC283922	16q23.1	3.72	4.41	1.17	0.96	-0.69	1.88e-8	6.000e-6	(B) White
PXDNL	8q11.22-q11.23	2.55	3.47	1.50	1.39	-0.92	2.10e-8	6.579e-6	(B) White
DCLRE1C	10p13	7.27	6.71	0.87	0.90	0.56	2.31e-8	7.093e-6	(A) Asian
FBXO8	4q34.1	8.78	9.25	0.71	0.76	-0.47	2.33e-8	7.093e-6	(B) White
MYRF-AS1	11q12.2	0.30	0.78	0.71	0.82	-0.48	2.67e-8	8.009e-6	(B) White
PAFAH2	1p36.11	8.67	9.08	0.69	0.62	-0.42	3.10e-8	9.160e-6	(B) White
CLCN3	4q33	8.80	9.38	0.93	0.93	-0.58	3.29e-8	9.581e-6	(B) White
FLJ42393	3q27.3	1.08	0.48	1.15	0.68	0.60	3.35e-8	9.608e-6	(A) Asian
ZNF696	8q24.3	8.44	7.98	0.75	0.70	0.45	3.63e-8	1.027e-5	(A) Asian
DNAJC27	2p23.3	5.67	6.08	0.61	0.67	-0.40	3.70e-8	1.028e-5	(B) White
SNRPD3	22q11.23	11.34	11.00	0.56	0.53	0.34	3.74e-8	1.028e-5	(A) Asian
FZD4	11q14.2	9.49	10.05	0.85	0.95	-0.56	4.15e-8	1.127e-5	(B) White
PCDHB11	5q31.3	2.52	3.66	1.81	1.86	-1.14	4.68e-8	1.253e-5	(B) White
TPM3P9	19q13.42	7.05	6.31	1.29	1.08	0.74	4.86e-8	1.284e-5	(A) Asian
CHD9	16q12.2	8.52	9.03	0.85	0.81	-0.51	5.32e-8	1.386e-5	(B) White
THOC7	3p14.1	9.99	9.69	0.53	0.46	0.30	6.19e-8	1.592e-5	(A) Asian
SIAE	11q24.2	9.64	10.34	1.22	1.05	-0.70	6.36e-8	1.608e-5	(B) White
XIST	Xq13.2	3.49	6.51	4.52	5.38	-3.02	6.45e-8	1.608e-5	(B) White
KLHL8	4q22.1	7.50	8.08	0.97	0.93	-0.58	6.49e-8	1.608e-5	(B) White
ITFG1	16q12.1	9.72	10.18	0.81	0.71	-0.46	7.28e-8	1.782e-5	(B) White
XRRA1	11q13.4	8.93	8.59	0.59	0.51	0.34	7.46e-8	1.805e-5	(A) Asian
SF3B4	1q21.2	11.21	10.84	0.60	0.63	0.37	7.64e-8	1.827e-5	(A) Asian
GNAO1	16q13	5.35	6.83	2.32	2.56	-1.48	7.95e-8	1.871e-5	(B) White
LARP1B	4q28.2	8.82	9.27	0.71	0.81	-0.46	8.01e-8	1.871e-5	(B) White
CYP4V2	4q35.1-q35.2	10.58	11.22	1.10	1.00	-0.64	8.29e-8	1.913e-5	(B) White
HEATR4	14q24.3	1.63	2.41	1.26	1.33	-0.78	8.62e-8	1.967e-5	(B) White
PCDHB7	5q31.3	3.47	4.46	1.63	1.63	-0.99	8.94e-8	2.016e-5	(B) White
SPATA24	5q31.2	6.26	5.72	0.94	0.85	0.54	9.26e-8	2.065e-5	(A) Asian
TBC1D31	8q24.13	7.40	6.94	0.71	0.81	0.46	9.87e-8	2.178e-5	(A) Asian
SUGT1P3	13q14.11	4.98	5.63	0.98	1.18	-0.65	1.00e-7	2.183e-5	(B) White
AVPR1A	12q14.2	3.18	4.88	2.39	3.22	-1.69	1.02e-7	2.197e-5	(B) White
RBIS	8q21.2	9.97	9.45	0.87	0.86	0.52	1.05e-7	2.232e-5	(A) Asian
HIBCH	2q32.2	9.95	10.40	0.72	0.76	-0.44	1.14e-7	2.413e-5	(B) White
BCRP3	22q11.23	3.78	2.90	1.41	1.53	0.88	1.18e-7	2.471e-5	(A) Asian
ZNF16	8q24.3	8.05	7.70	0.59	0.59	0.35	1.26e-7	2.606e-5	(A) Asian
RGPD1	2p11.2	7.42	8.03	0.91	1.13	-0.61	1.30e-7	2.659e-5	(B) White
PNPLA7	9q34.3	7.09	7.87	1.39	1.23	-0.79	1.36e-7	2.754e-5	(B) White
SRBD1	2p21	7.91	8.23	0.55	0.53	-0.32	1.45e-7	2.917e-5	(B) White
RPL38	17q25.1	13.12	12.62	0.83	0.87	0.50	1.48e-7	2.934e-5	(A) Asian
USP53	4q26	7.29	7.88	0.99	0.99	-0.59	1.49e-7	2.934e-5	(B) White
SYT9	11p15.4	1.23	2.74	2.07	3.01	-1.51	1.63e-7	3.177e-5	(B) White
PMS2P3	7q11.23	5.56	5.14	0.63	0.80	0.42	1.71e-7	3.298e-5	(A) Asian
ST20-AS1	15q25.1	6.03	6.53	0.81	0.89	-0.50	1.78e-7	3.407e-5	(B) White
VPS72	1q21.3	10.23	9.88	0.55	0.63	0.35	1.89e-7	3.582e-5	(A) Asian
CHRAC1	8q24.3	9.64	9.29	0.63	0.56	0.35	1.92e-7	3.601e-5	(A) Asian
NOL11	17q24.2	10.11	9.85	0.41	0.47	0.26	1.97e-7	3.657e-5	(A) Asian
KIAA1109	4q27	9.20	9.70	0.86	0.84	-0.50	2.01e-7	3.696e-5	(B) White
FECH	18q21.31	9.33	9.74	0.75	0.62	-0.41	2.04e-7	3.696e-5	(B) White
CPED1	7q31.31	6.70	7.80	1.83	1.94	-1.10	2.05e-7	3.696e-5	(B) White
LINC00574	6q27	4.04	4.87	1.43	1.40	-0.83	2.06e-7	3.696e-5	(B) White
AP1G1	16q22.2	10.49	10.78	0.52	0.48	-0.29	2.30e-7	4.083e-5	(B) White
IL6	7p15.3	1.98	2.98	1.55	1.90	-1.00	2.36e-7	4.132e-5	(B) White
ADAT1	16q23.1	6.34	6.97	1.12	1.01	-0.63	2.37e-7	4.132e-5	(B) White
BLOC1S3	19q13.32	8.85	8.53	0.56	0.55	0.32	2.47e-7	4.274e-5	(A) Asian
IFI27L1	14q32.12	7.73	7.18	0.94	0.95	0.55	2.49e-7	4.274e-5	(A) Asian
LOC728554	5q35.3	8.26	7.70	0.98	0.94	0.56	2.53e-7	4.306e-5	(A) Asian
PCDHB14	5q31.3	5.02	5.95	1.63	1.58	-0.93	2.61e-7	4.385e-5	(B) White
ADAMTS15	11q24.3	1.71	2.62	1.51	1.62	-0.91	2.62e-7	4.385e-5	(B) White
HCG4B	6p22.1	2.26	2.87	1.08	1.02	-0.61	2.75e-7	4.571e-5	(B) White
ACADM	1p31.1	10.76	11.37	1.02	1.10	-0.62	2.79e-7	4.589e-5	(B) White
CPEB2	4p15.32	8.70	9.22	0.89	0.93	-0.52	3.22e-7	5.262e-5	(B) White
TSNAXIP1	16q22.1	3.34	3.93	1.04	1.00	-0.59	3.38e-7	5.443e-5	(B) White
CNIH4	1q42.11	10.09	9.70	0.68	0.68	0.39	3.39e-7	5.443e-5	(A) Asian
VKORC1	16p11.2	11.39	11.82	0.73	0.75	-0.42	3.73e-7	5.952e-5	(B) White
MFAP3L	4q33	7.15	8.38	2.10	2.19	-1.23	3.89e-7	6.146e-5	(B) White
CIDEA	18p11.21|18	0.31	1.40	0.87	2.59	-1.09	3.96e-7	6.207e-5	(B) White
RAB33B	4q31.1	7.76	8.19	0.72	0.76	-0.42	3.99e-7	6.207e-5	(B) White
HAUS1	18q21.1	7.99	7.60	0.70	0.69	0.40	4.04e-7	6.236e-5	(A) Asian
ETFDH	4q32.1	9.83	10.38	0.92	1.01	-0.55	4.13e-7	6.325e-5	(B) White
TPRKB	2p13.1	8.59	8.26	0.56	0.60	0.33	4.29e-7	6.522e-5	(A) Asian
MAP1LC3B2	12q24.22	7.37	7.78	0.75	0.68	-0.41	4.41e-7	6.664e-5	(B) White
ZNRD1	6p22.1	9.07	8.67	0.65	0.73	0.39	4.80e-7	7.194e-5	(A) Asian
DRG1	22q12.2	10.49	10.21	0.50	0.46	0.27	4.87e-7	7.207e-5	(A) Asian
ACBD6	1q25.2-q25.3	9.30	8.93	0.61	0.69	0.37	4.88e-7	7.207e-5	(A) Asian
MFSD2B	2p23.3	5.22	4.49	1.24	1.34	0.73	4.96e-7	7.276e-5	(A) Asian
ATP10D	4p12	7.03	7.65	1.10	1.09	-0.62	5.01e-7	7.295e-5	(B) White
RPL23	17q12	13.70	13.24	0.79	0.81	0.45	5.11e-7	7.350e-5	(A) Asian
CNTN6	3p26.3	0.20	0.60	0.42	0.92	-0.40	5.12e-7	7.350e-5	(B) White
RRP9	3p21.2	9.14	8.79	0.59	0.67	0.35	5.29e-7	7.509e-5	(A) Asian
TSIX	Xq13.2	2.62	5.03	3.98	4.56	-2.41	5.31e-7	7.509e-5	(B) White
TRIM4	7q22.1	9.35	9.66	0.57	0.54	-0.31	5.35e-7	7.516e-5	(B) White
N4BP1	16q12.1	9.26	9.49	0.45	0.39	-0.24	5.55e-7	7.739e-5	(B) White
ZNF680	7q11.21	7.43	8.00	0.94	1.06	-0.56	5.61e-7	7.762e-5	(B) White
SMAD1	4q31.21	8.45	8.91	0.80	0.86	-0.46	5.75e-7	7.902e-5	(B) White
MCM5	22q12.3	10.72	10.23	0.85	0.88	0.49	6.01e-7	8.194e-5	(A) Asian
STAG3L4	7q11.21	7.36	6.90	0.72	0.91	0.46	6.04e-7	8.194e-5	(A) Asian
FGF7P3	9p12	4.71	5.44	1.33	1.25	-0.73	6.09e-7	8.211e-5	(B) White
GAS5	1q25.1	10.95	10.32	1.04	1.22	0.63	6.17e-7	8.261e-5	(A) Asian
BMP2K	4q21.21	6.41	6.91	0.88	0.91	-0.50	6.23e-7	8.286e-5	(B) White
SPATC1L	21q22.3	7.02	5.96	1.74	2.04	1.06	7.09e-7	9.362e-5	(A) Asian
PPIAL4G	1q21.2	4.55	4.16	0.70	0.70	0.39	7.62e-7	9.979e-5	(A) Asian
MAP1LC3B	16q24.2	10.04	10.43	0.70	0.69	-0.39	7.65e-7	9.979e-5	(B) White
RBL2	16q12.2	9.91	10.43	0.94	0.92	-0.52	8.26e-7	1.069e-4	(B) White
TMTC1	12p11.22	6.66	7.44	1.52	1.26	-0.78	8.48e-7	1.091e-4	(B) White
SLC25A19	17q25.1	8.03	7.63	0.71	0.74	0.40	8.64e-7	1.105e-4	(A) Asian
PDCL3P4	3q12.3	5.78	5.45	0.57	0.62	0.33	8.72e-7	1.108e-4	(A) Asian
ABHD18	4q28.2	6.12	6.62	0.85	0.95	-0.50	8.92e-7	1.127e-4	(B) White
BMS1P2	10q11.22	5.55	6.06	0.91	0.94	-0.51	9.26e-7	1.156e-4	(B) White
NR2C2AP	19p13.11	9.01	8.63	0.63	0.75	0.38	9.27e-7	1.156e-4	(A) Asian
EFHB	3p24.3	1.08	1.79	1.24	1.34	-0.71	9.64e-7	1.195e-4	(B) White
SERHL	22q13.2	6.50	5.98	0.79	1.09	0.52	1.015e-6	1.244e-4	(A) Asian
ALG10B	12q12	6.73	7.26	1.03	0.84	-0.52	1.016e-6	1.244e-4	(B) White
MFAP5	12p13.31	1.48	2.34	1.48	1.68	-0.86	1.083e-6	1.318e-4	(B) White
PFDN6	6p21.32	10.54	10.12	0.79	0.71	0.42	1.093e-6	1.322e-4	(A) Asian
BBS10	12q21.2	7.69	8.10	0.77	0.71	-0.41	1.101e-6	1.324e-4	(B) White
WWC2	4q35.1	8.83	9.34	0.94	0.88	-0.50	1.108e-6	1.324e-4	(B) White
CES5A	16q12.2	3.60	4.87	2.37	2.27	-1.27	1.200e-6	1.426e-4	(B) White
UBA6	4q13.2	8.93	9.27	0.61	0.61	-0.33	1.235e-6	1.459e-4	(B) White
METTL18	1q24.2	7.60	7.26	0.61	0.63	0.34	1.284e-6	1.507e-4	(A) Asian
POLR3C	1q21.1	9.06	8.74	0.55	0.61	0.32	1.314e-6	1.534e-4	(A) Asian
CDKN3	14q22.2	7.67	6.84	1.40	1.65	0.83	1.323e-6	1.535e-4	(A) Asian
HMGN5	Xq21.1	5.48	6.45	1.93	1.61	-0.97	1.331e-6	1.536e-4	(B) White
WDFY3	4q21.23	8.29	8.80	0.95	0.92	-0.51	1.340e-6	1.538e-4	(B) White
ZNF90	19p12	6.90	6.34	1.01	1.06	0.56	1.359e-6	1.551e-4	(A) Asian
ITGB3	17q21.32	5.16	6.10	1.68	1.80	-0.94	1.417e-6	1.607e-4	(B) White
PCNX1	14q24.2	9.59	9.91	0.61	0.59	-0.32	1.446e-6	1.631e-4	(B) White
NDUFB4	3q13.33	11.35	11.09	0.49	0.44	0.25	1.489e-6	1.667e-4	(A) Asian
CFI	4q25	12.52	13.17	1.24	1.14	-0.65	1.495e-6	1.667e-4	(B) White
TIPARP	3q25.31	8.87	9.27	0.63	0.81	-0.39	1.510e-6	1.675e-4	(B) White
PCDHB13	5q31.3	4.19	5.16	1.83	1.75	-0.97	1.568e-6	1.728e-4	(B) White
GTF2IRD2B	7q11.23	6.27	6.74	0.95	0.78	-0.47	1.575e-6	1.728e-4	(B) White
CMTR2	16q22.2	8.04	8.45	0.78	0.75	-0.41	1.678e-6	1.826e-4	(B) White
PPIL3	2q33.1	8.52	8.22	0.47	0.63	0.30	1.683e-6	1.826e-4	(A) Asian
PAXIP1-AS2	7q36.2	5.69	6.15	0.90	0.80	-0.46	1.721e-6	1.851e-4	(B) White
GTF2IRD2P1	7q11.23	7.19	7.67	0.99	0.77	-0.48	1.723e-6	1.851e-4	(B) White
FRMD3	9q21.32	2.67	3.67	1.80	1.94	-1.00	1.739e-6	1.854e-4	(B) White
CTU1	19q13.41	6.66	6.23	0.77	0.82	0.43	1.745e-6	1.854e-4	(A) Asian
PHKA1	Xq13.1	5.11	5.99	1.75	1.46	-0.87	1.755e-6	1.854e-4	(B) White
TCAF1	7q35	7.29	7.94	1.33	1.08	-0.65	1.776e-6	1.867e-4	(B) White
RANBP10	16q22.1	9.37	9.76	0.72	0.74	-0.39	1.836e-6	1.916e-4	(B) White
PDGFC	4q32.1	7.85	8.45	1.23	0.99	-0.61	1.849e-6	1.916e-4	(B) White
SORBS1	10q24.1	9.86	10.33	0.96	0.79	-0.48	1.851e-6	1.916e-4	(B) White
POLR2A	17p13.1	10.86	11.21	0.70	0.60	-0.35	1.875e-6	1.930e-4	(B) White
RPS10	6p21.31	12.96	12.50	0.86	0.86	0.46	1.927e-6	1.974e-4	(A) Asian
STS	Xp22.31	8.29	8.99	1.27	1.35	-0.70	1.974e-6	2.012e-4	(B) White
MAP3K2	2q14.3	7.87	8.37	0.94	0.95	-0.51	2.004e-6	2.033e-4	(B) White
RPL32	3p25.2	14.18	13.75	0.82	0.81	0.43	2.045e-6	2.064e-4	(A) Asian
CMSS1	3q12.1	8.59	8.27	0.58	0.63	0.32	2.104e-6	2.095e-4	(A) Asian
TENT4B	16q12.1	8.32	8.65	0.65	0.55	-0.33	2.105e-6	2.095e-4	(B) White
CCDC144A	17p11.2	1.15	2.00	1.54	1.65	-0.85	2.117e-6	2.095e-4	(B) White
RPL27	17q21.31	13.52	13.07	0.86	0.83	0.45	2.118e-6	2.095e-4	(A) Asian
COL9A3	20q13.33	5.92	4.73	2.27	2.21	1.20	2.129e-6	2.096e-4	(A) Asian
SIAH1	16q12.1	8.59	8.85	0.48	0.48	-0.26	2.152e-6	2.108e-4	(B) White
KDM8	16p12.1	7.70	8.49	1.42	1.53	-0.79	2.234e-6	2.178e-4	(B) White
MED30	8q24.11	7.97	7.59	0.72	0.71	0.38	2.303e-6	2.234e-4	(A) Asian
ZNF330	4q31.21	8.84	9.16	0.63	0.59	-0.32	2.314e-6	2.234e-4	(B) White
BAZ2B	2q24.2	8.10	8.52	0.81	0.78	-0.42	2.384e-6	2.290e-4	(B) White
NBPF9	1q21.2	6.74	7.69	1.82	1.76	-0.95	2.434e-6	2.327e-4	(B) White
SNRPE	1q32.1	10.49	10.11	0.71	0.73	0.38	2.454e-6	2.332e-4	(A) Asian
TIGD5	8q24.3	8.11	7.67	0.79	0.88	0.44	2.467e-6	2.332e-4	(A) Asian
COG4	16q22.1	10.16	10.43	0.54	0.50	-0.28	2.483e-6	2.332e-4	(B) White
MFSD9	2q12.1	7.24	7.67	0.81	0.82	-0.43	2.485e-6	2.332e-4	(B) White
ANKRD11	16q24.3	10.35	10.63	0.57	0.49	-0.28	2.562e-6	2.392e-4	(B) White
LDHD	16q23.1	10.08	10.91	1.76	1.27	-0.82	2.588e-6	2.405e-4	(B) White
BRF2	8p11.23	8.25	7.91	0.72	0.56	0.34	2.669e-6	2.469e-4	(A) Asian
MAGOH	1p32.3	9.49	9.23	0.50	0.49	0.26	2.795e-6	2.575e-4	(A) Asian
INTS8	8q22.1	9.40	9.05	0.67	0.65	0.35	2.813e-6	2.579e-4	(A) Asian
SLFN5	17q12	6.62	7.30	1.38	1.17	-0.68	2.856e-6	2.606e-4	(B) White
RAB6C	2q21.1	4.77	5.16	0.79	0.69	-0.39	2.905e-6	2.639e-4	(B) White
KLHDC7A	1p36.13	6.72	7.63	1.70	1.77	-0.91	2.945e-6	2.664e-4	(B) White
IRAK3	12q14.3	5.37	6.05	1.24	1.36	-0.68	2.990e-6	2.692e-4	(B) White
POLR2K	8q22.2	10.55	10.21	0.64	0.65	0.34	3.029e-6	2.704e-4	(A) Asian
WASH3P	15q26.3	8.97	8.63	0.62	0.68	0.34	3.030e-6	2.704e-4	(A) Asian
FOSL2	2p23.2	8.99	9.50	0.94	1.00	-0.51	3.056e-6	2.716e-4	(B) White
IFT46	11q23.3	7.26	7.71	0.95	0.77	-0.46	3.117e-6	2.757e-4	(B) White
SEC1P	19q13.33	1.30	1.80	0.99	0.91	-0.50	3.154e-6	2.778e-4	(B) White
KLHL2	4q32.3	8.48	8.93	0.82	0.92	-0.46	3.176e-6	2.784e-4	(B) White
PCDHB12	5q31.3	3.33	4.09	1.47	1.45	-0.76	3.272e-6	2.857e-4	(B) White
IL1RL1	2q12.1	1.87	2.79	1.54	2.00	-0.93	3.305e-6	2.873e-4	(B) White
AASDH	4q12	7.13	7.45	0.63	0.57	-0.31	3.326e-6	2.879e-4	(B) White
NAA20	20p11.23	11.00	10.70	0.60	0.58	0.31	3.404e-6	2.933e-4	(A) Asian
AK3	9p24.1	11.22	11.62	0.68	0.86	-0.40	3.450e-6	2.961e-4	(B) White
ZNF296	19q13.32	4.92	4.14	1.61	1.32	0.78	3.501e-6	2.991e-4	(A) Asian
FBL	19q13.2	11.58	11.13	0.89	0.82	0.45	3.525e-6	2.999e-4	(A) Asian
RPS18	6p21.32	14.64	14.23	0.78	0.81	0.41	3.613e-6	3.056e-4	(A) Asian
ARFIP1	4q31.3	8.84	9.13	0.56	0.55	-0.29	3.622e-6	3.056e-4	(B) White
AFF1	4q21.3-q22.1	9.87	10.27	0.73	0.80	-0.40	3.650e-6	3.066e-4	(B) White
ASPA	17p13.2	3.74	4.61	1.62	1.72	-0.87	3.704e-6	3.098e-4	(B) White
PRKY	Yp11.2	4.77	3.46	2.32	2.74	1.31	3.738e-6	3.114e-4	(A) Asian
RPS25	11q23.3	13.10	12.77	0.69	0.58	0.33	3.806e-6	3.158e-4	(A) Asian
CENPW	6q22.32	7.31	6.67	1.22	1.24	0.64	3.915e-6	3.235e-4	(A) Asian
GTF2IRD2	7q11.23	7.98	8.35	0.76	0.66	-0.37	4.008e-6	3.294e-4	(B) White
STXBP1	9q34.11	7.13	7.82	1.36	1.30	-0.69	4.019e-6	3.294e-4	(B) White
UBE2T	1q32.1	7.87	7.26	1.10	1.26	0.61	4.058e-6	3.309e-4	(A) Asian
CREB3L4	1q21.3	8.85	8.45	0.72	0.80	0.39	4.070e-6	3.309e-4	(A) Asian
MARF1	16p13.11	9.86	10.11	0.52	0.46	-0.26	4.101e-6	3.320e-4	(B) White
ANKFY1	17p13.2	9.71	10.00	0.60	0.51	-0.29	4.310e-6	3.474e-4	(B) White
TRIM66	11p15.4	7.39	7.82	0.84	0.78	-0.42	4.325e-6	3.474e-4	(B) White
NR3C2	4q31.23	6.74	7.41	1.31	1.26	-0.67	4.345e-6	3.476e-4	(B) White
RPH3AL	17p13.3	7.89	8.34	0.89	0.85	-0.45	4.372e-6	3.484e-4	(B) White
EFHD1	2q37.1	7.35	8.31	1.87	1.83	-0.95	4.408e-6	3.498e-4	(B) White
GRAPL	17p11.2	1.03	1.60	1.08	1.11	-0.56	4.484e-6	3.545e-4	(B) White
LINC02693	17p11.2	6.05	6.81	1.67	1.21	-0.76	4.524e-6	3.562e-4	(B) White
NOL7	6p23	10.00	9.73	0.54	0.52	0.27	4.611e-6	3.616e-4	(A) Asian
GLG1	16q23.1	11.34	11.61	0.51	0.52	-0.27	4.628e-6	3.616e-4	(B) White
DPF3	14q24.2	3.50	4.34	1.69	1.58	-0.84	4.661e-6	3.627e-4	(B) White
HYAL3	3p21.31	7.47	6.88	1.13	1.15	0.59	4.728e-6	3.666e-4	(A) Asian
SLC38A2	12q13.11	11.89	12.37	0.84	1.03	-0.48	4.891e-6	3.778e-4	(B) White
TLR3	4q35.1	6.04	6.77	1.37	1.50	-0.73	4.946e-6	3.783e-4	(B) White
NME1	17q21.33	11.37	10.95	0.76	0.88	0.42	4.952e-6	3.783e-4	(A) Asian
TATDN1	8q24.13	8.90	8.52	0.75	0.72	0.38	4.956e-6	3.783e-4	(A) Asian
PAFAH1B1	17p13.3	10.48	10.72	0.50	0.44	-0.24	5.007e-6	3.808e-4	(B) White
